method,seed,best_val_acc,final_val_acc,score_05_05,reused,summary_json,curve_csv
baseline,2,0.7579667799408023,0.7508777834945347,0.7544222817176685,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/baseline_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/baseline_s2_curve.csv
baseline,3,0.7398585081146392,0.7398585081146392,0.7398585081146392,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/baseline_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/baseline_s3_curve.csv
baseline,5,0.7648949629036311,0.7589981970384484,0.7619465799710398,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/baseline_s5.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/baseline_s5_curve.csv
baseline,7,0.7437633138848218,0.7437633138848218,0.7437633138848218,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/baseline_s7.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/baseline_s7_curve.csv
baseline,11,0.7629331758386003,0.7629331758386003,0.7629331758386003,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/baseline_s11.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/baseline_s11_curve.csv
cagrad,2,0.7649986257839134,0.7597176527190238,0.7623581392514687,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/cagrad_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/cagrad_s2_curve.csv
cagrad,3,0.738074532666425,0.738074532666425,0.738074532666425,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/cagrad_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/cagrad_s3_curve.csv
cagrad,5,0.7544878917977839,0.736363201545004,0.7454255466713939,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/cagrad_s5.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/cagrad_s5_curve.csv
cagrad,7,0.750066915127288,0.7341920046029057,0.7421294598650968,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/cagrad_s7.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/cagrad_s7_curve.csv
cagrad,11,0.7621469351112786,0.7621469351112786,0.7621469351112786,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/cagrad_s11.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/cagrad_s11_curve.csv
ours,2,0.7553933683084845,0.7511613421081368,0.7532773552083106,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/ours_s2_curve.csv
ours,3,0.7531570773666804,0.7440500679552061,0.7486035726609432,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/ours_s3_curve.csv
ours,5,0.7511215346345775,0.7507863708078633,0.7509539527212203,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/ours_s5.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/ours_s5_curve.csv
ours,7,0.7623276763681187,0.7549185092914721,0.7586230928297955,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/ours_s7.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/ours_s7_curve.csv
ours,11,0.7525117704226393,0.7525117704226393,0.7525117704226393,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/ours_s11.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_gpt2_lora_e4_k2/final/ours_s11_curve.csv
