method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.5949161141007034,0.1629725843667984,0.5128569006919861,0.1534518301486969,0.1707187294960022
baseline,3,1000.0,0.5834012188155342,0.07716532051563263,0.08355046808719635,0.554043173789978,0.2852409780025482
baseline,5,1000.0,0.567219360317621,0.18319334089756012,0.20311056077480316,0.27898916602134705,0.3347069323062897
baseline,7,1000.0,0.6688896570768621,0.29764845967292786,0.3375955820083618,0.13153189420700073,0.23322425782680511
baseline,11,1000.0,0.10666459528204507,0.04116978868842125,0.9098376035690308,0.00971949752420187,0.03927288576960564
cagrad,2,1000.0,0.4998981214507862,0.07559961080551147,0.18473964929580688,0.4948568344116211,0.24480390548706055
cagrad,3,1000.0,0.5391985099003823,0.0785304382443428,0.3002525866031647,0.5640690326690674,0.05714801326394081
cagrad,5,1000.0,0.3664395015652257,0.0278948824852705,0.1316581666469574,0.8373017311096191,0.003145578783005476
cagrad,7,1000.0,0.43444702427627313,0.7930278182029724,0.012810544110834599,0.007662626449018717,0.1864991933107376
cagrad,11,1000.0,0.6634826708791984,0.42796584963798523,0.2697189152240753,0.11059299856424332,0.19172219932079315
ours,2,1000.0,0.6338721908008059,0.3473825454711914,0.3598398268222809,0.28383323550224304,0.008944220840930939
ours,3,1000.0,0.34240213729855085,0.15119124948978424,0.11764849722385406,0.0011170031502842903,0.7300432920455933
ours,5,1000.0,0.2416901850891817,0.04789683222770691,0.05564982071518898,0.05859341844916344,0.8378598690032959
ours,7,1000.0,0.5703212949964735,0.5818358063697815,0.1258644312620163,0.013358556665480137,0.27894124388694763
ours,11,1000.0,0.610728141679256,0.17123691737651825,0.0913337767124176,0.26608726382255554,0.4713422656059265
