method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay,method.baseline_cagrad.c,method.baseline_cagrad.inner_lr,method.ours.lambda_align
baseline,coord_02_anchor,coord:train.weight_decay,2,0.6852632693294085,0.010342596402632742,0.6852632693294085,0.6852632693294085,1.0,2.5551784142791192e-05,0.01,,,
baseline,coord_03_train_grad_clip_004,coord:train.grad_clip,2,0.6794398999958894,0.004896548302649073,0.6794398999958894,0.6794398999958894,0.9537451003327635,2.5551784142791192e-05,0.01,,,
baseline,local_var_topk_017,local_var_topk,2,0.6793439599408038,0.011314857960079638,0.6793439599408038,0.6793439599408038,1.253745100333,2.5551784e-05,0.02,,,
baseline,coord_03_anchor,coord:train.grad_clip,2,0.6775251271492049,0.006544712595866309,0.6775251271492049,0.6775251271492049,1.0,2.5551784142791192e-05,0.01,,,
baseline,coord_02_train_weight_decay_003,coord:train.weight_decay,2,0.6773291664690009,0.004650909580834639,0.6773291664690009,0.6773291664690009,1.0,2.5551784142791192e-05,0.035318587196151295,,,
baseline,coord_01_train_lr_004,coord:train.lr,2,0.6770143687305563,0.0097826463304857,0.6770143687305563,0.6770143687305563,1.0,2.5551784142791192e-05,0.01,,,
baseline,coord_01_train_lr_007,coord:train.lr,2,0.675526688477667,0.0012599247777030365,0.675526688477667,0.675526688477667,1.0,4.073235308694881e-05,0.01,,,
baseline,coord_02_train_weight_decay_004,coord:train.weight_decay,2,0.6755261328075275,0.009572774101927917,0.6755261328075275,0.6755261328075275,1.0,2.5551784142791192e-05,0.012627914022778375,,,
baseline,local_var_topk_009,local_var_topk,2,0.6742811616364295,0.0035781805998874594,0.6742811616364295,0.6742811616364295,0.653745100333,2.5551784e-05,0.0,,,
baseline,coord_03_train_grad_clip_008,coord:train.grad_clip,2,0.6741256036896544,0.004314610377219308,0.6741256036896544,0.6741256036896544,1.979075829358662,2.5551784142791192e-05,0.01,,,
baseline,local_var_topk_015,local_var_topk,2,0.6740411121361457,0.005327121964850523,0.6768027418286061,0.6712794824436853,0.653745100333,2.5551784e-05,0.02,,,
baseline,local_var_topk_004,local_var_topk,2,0.6736183942075202,0.009979516160561752,0.6736183942075202,0.6736183942075202,0.953745100333,1.2775892e-05,0.01,,,
baseline,coord_02_train_weight_decay_008,coord:train.weight_decay,2,0.6729684269866856,0.01040631890097643,0.6729684269866856,0.6729684269866856,1.0,2.5551784142791192e-05,0.01543368425632205,,,
baseline,coord_03_train_grad_clip_000,coord:train.grad_clip,2,0.6728272033500242,0.003933936741900457,0.6728272033500242,0.6728272033500242,0.8623574172053887,2.5551784142791192e-05,0.01,,,
baseline,coord_03_train_grad_clip_002,coord:train.grad_clip,2,0.6717653700283528,0.003162273518748704,0.6723580466680572,0.6711726933886486,0.5277354059107395,2.5551784142791192e-05,0.01,,,
baseline,local_var_topk_022,local_var_topk,2,0.6712440058038092,0.0042200022337657295,0.6712440058038092,0.6712440058038092,0.953745100333,5.1103568e-05,0.01,,,
baseline,coord_02_train_weight_decay_010,coord:train.weight_decay,2,0.671061244056818,0.002314770512021669,0.671061244056818,0.671061244056818,1.0,2.5551784142791192e-05,0.02446709884391641,,,
baseline,coord_03_train_grad_clip_003,coord:train.grad_clip,2,0.670907018021675,0.003024974921037149,0.670907018021675,0.670907018021675,0.8690175238301865,2.5551784142791192e-05,0.01,,,
baseline,coord_01_train_lr_005,coord:train.lr,2,0.6703914664178532,0.006569497180792694,0.6703914664178532,0.6703914664178532,1.0,1.2632687420587218e-05,0.01,,,
baseline,local_var_topk_014,local_var_topk,2,0.6695968595322218,0.012386677791154543,0.6695968595322218,0.6695968595322218,1.253745100333,2.5551784e-05,0.01,,,
baseline,coord_02_train_weight_decay_001,coord:train.weight_decay,2,0.6695412133388071,0.0035210695864612562,0.6695412133388071,0.6695412133388071,1.0,2.5551784142791192e-05,0.006765903978014576,,,
baseline,coord_03_train_grad_clip_006,coord:train.grad_clip,2,0.6687406383013716,2.5183310064735842e-05,0.6687406383013716,0.6687406383013716,1.4235623362774221,2.5551784142791192e-05,0.01,,,
baseline,coord_02_train_weight_decay_006,coord:train.weight_decay,2,0.668215823407679,0.012141936200901204,0.6775995021127682,0.6588321447025899,1.0,2.5551784142791192e-05,0.04941338139680235,,,
baseline,coord_02_train_weight_decay_000,coord:train.weight_decay,2,0.6680614524458456,0.013271498360204692,0.6680614524458456,0.6680614524458456,1.0,2.5551784142791192e-05,0.024742505611920138,,,
baseline,coord_03_train_grad_clip_005,coord:train.grad_clip,2,0.6679807558507456,0.017996070289461874,0.6679807558507456,0.6679807558507456,0.6271934850757253,2.5551784142791192e-05,0.01,,,
baseline,local_var_topk_000,local_var_topk,2,0.6679473633273725,0.005237350838056876,0.6679473633273725,0.6679473633273725,0.653745100333,1.2775892e-05,0.0,,,
baseline,local_var_topk_013,local_var_topk,2,0.6678641598540093,0.007301955259849668,0.6678641598540093,0.6678641598540093,0.953745100333,2.5551784e-05,0.01,,,
baseline,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.6673878360169854,0.01756662776240453,0.6673878360169854,0.6673878360169854,0.9733492506568604,2.5551784142791192e-05,0.01,,,
baseline,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.6673714812167204,0.00668502708265567,0.6673714812167204,0.6673714812167204,1.0,2.5551784142791192e-05,0.007589584457877514,,,
baseline,coord_02_train_weight_decay_002,coord:train.weight_decay,2,0.6668715717980229,0.0006715323123572259,0.6668715717980229,0.6668715717980229,1.0,2.5551784142791192e-05,0.03175375624865879,,,
baseline,local_var_topk_008,local_var_topk,2,0.6663658271359004,0.008974904137993178,0.6663658271359004,0.6663658271359004,1.253745100333,1.2775892e-05,0.02,,,
baseline,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.6649111166446242,0.013881259382341804,0.6649111166446242,0.6649111166446242,0.6972133520518287,2.5551784142791192e-05,0.01,,,
baseline,coord_03_train_grad_clip_010,coord:train.grad_clip,2,0.6645705799259753,0.012721645083137667,0.6645705799259753,0.6645705799259753,1.3976850553319569,2.5551784142791192e-05,0.01,,,
baseline,coord_01_anchor,coord:train.lr,2,0.6627280286443235,0.010083798337335415,0.6627280286443235,0.6627280286443235,1.0,2e-05,0.01,,,
baseline,local_var_topk_010,local_var_topk,2,0.6614193349748819,0.004528744157432429,0.6614193349748819,0.6614193349748819,0.953745100333,2.5551784e-05,0.0,,,
baseline,local_var_topk_002,local_var_topk,2,0.6610647537995,0.0038156101083937632,0.6610647537995,0.6610647537995,1.253745100333,1.2775892e-05,0.0,,,
baseline,local_var_topk_007,local_var_topk,2,0.6595327853639619,0.0008176594198683884,0.6631740225063769,0.6558915482215467,0.953745100333,1.2775892e-05,0.02,,,
baseline,local_var_topk_016,local_var_topk,2,0.6585057747446615,0.022279141084065923,0.6598612514567042,0.6571502980326189,0.953745100333,2.5551784e-05,0.02,,,
baseline,local_var_topk_011,local_var_topk,2,0.6582190553152911,0.01061035588610948,0.6582190553152911,0.6582190553152911,1.253745100333,2.5551784e-05,0.0,,,
baseline,local_var_topk_020,local_var_topk,2,0.6576560426947413,0.0015382038180200008,0.6576560426947413,0.6576560426947413,1.253745100333,5.1103568e-05,0.0,,,
baseline,coord_03_train_grad_clip_009,coord:train.grad_clip,2,0.6574408668562766,0.01096347224147981,0.657722960649867,0.6571587730626862,1.5112336071971466,2.5551784142791192e-05,0.01,,,
baseline,local_var_topk_012,local_var_topk,2,0.6570159170566199,0.021309229459880896,0.6607072429840947,0.653324591129145,0.653745100333,2.5551784e-05,0.01,,,
baseline,local_var_topk_005,local_var_topk,2,0.6558880975523977,0.01664629591246447,0.6606604945825074,0.6511157005222881,1.253745100333,1.2775892e-05,0.01,,,
baseline,coord_02_train_weight_decay_005,coord:train.weight_decay,2,0.6542880241767921,0.01562578649240487,0.6542880241767921,0.6542880241767921,1.0,2.5551784142791192e-05,0.01546097607936744,,,
baseline,local_var_topk_006,local_var_topk,2,0.6539165035456675,0.0091634664873953,0.6568242285324633,0.6510087785588718,0.653745100333,1.2775892e-05,0.02,,,
baseline,local_var_topk_003,local_var_topk,2,0.6535269667595351,0.01735995099062898,0.6535269667595351,0.6535269667595351,0.653745100333,1.2775892e-05,0.01,,,
baseline,coord_01_train_lr_003,coord:train.lr,2,0.6532294965975795,0.0024802683088758215,0.6532294965975795,0.6532294965975795,1.0,6.110024420884288e-06,0.01,,,
baseline,local_var_topk_001,local_var_topk,2,0.6526345562736681,0.007852654060436892,0.6526345562736681,0.6526345562736681,0.953745100333,1.2775892e-05,0.0,,,
baseline,local_var_topk_023,local_var_topk,2,0.6515328292293827,0.00018866061676775514,0.6515328292293827,0.6515328292293827,1.253745100333,5.1103568e-05,0.01,,,
baseline,local_var_topk_024,local_var_topk,2,0.6507795582636742,0.0008924104858671345,0.6507795582636742,0.6507795582636742,0.653745100333,5.1103568e-05,0.02,,,
baseline,coord_02_train_weight_decay_009,coord:train.weight_decay,2,0.650520450550131,0.003013683364461006,0.6527902471288227,0.6482506539714392,1.0,2.5551784142791192e-05,0.007863245139373703,,,
baseline,local_var_topk_021,local_var_topk,2,0.6501558856931833,0.0060377929671129316,0.6603356240856044,0.6399761473007621,0.653745100333,5.1103568e-05,0.01,,,
baseline,local_var_topk_019,local_var_topk,2,0.6456464896023908,0.003343390878023933,0.6456464896023908,0.6456464896023908,0.953745100333,5.1103568e-05,0.0,,,
baseline,local_var_topk_018,local_var_topk,2,0.6425761844404534,0.0021598785210625304,0.6436981913239537,0.6414541775569531,0.653745100333,5.1103568e-05,0.0,,,
baseline,local_var_topk_026,local_var_topk,2,0.6424325642112052,0.009058663281495904,0.6424325642112052,0.6424325642112052,1.253745100333,5.1103568e-05,0.02,,,
baseline,coord_01_train_lr_008,coord:train.lr,2,0.6411526027883432,0.009613043926977205,0.6460703627027822,0.636234842873904,1.0,3.073869450200515e-05,0.01,,,
baseline,coord_01_train_lr_000,coord:train.lr,2,0.640631826047115,0.004984333580305367,0.6424479405795707,0.6388157115146593,1.0,3.0561322966883563e-06,0.01,,,
baseline,coord_01_train_lr_001,coord:train.lr,2,0.6404645537820035,0.007460806930772668,0.6441491353161815,0.6367799722478255,1.0,0.00011129736574037923,0.01,,,
baseline,coord_01_train_lr_006,coord:train.lr,2,0.6307577005757681,0.00946173551354662,0.6348972840495035,0.6266181171020326,1.0,9.047754223534923e-05,0.01,,,
baseline,coord_01_train_lr_010,coord:train.lr,2,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1.0,0.0006416285041125823,0.01,,,
baseline,coord_01_train_lr_009,coord:train.lr,2,0.6155991315755177,0.00040849673202614234,0.6160076283075439,0.6151906348434916,1.0,0.0005843483351802731,0.01,,,
baseline,local_var_topk_025,local_var_topk,2,0.6120228731984156,0.01624871180674109,0.6333743236914695,0.5906714227053617,0.953745100333,5.1103568e-05,0.02,,,
baseline,coord_01_train_lr_002,coord:train.lr,2,0.558003814153772,0.058003814153771927,0.6160076283075439,0.5,1.0,0.003661385906620278,0.01,,,
cagrad,coord_04_method_baseline_cagrad_c_003,coord:method.baseline_cagrad.c,2,0.6893213919848622,0.002933296417606812,0.6893213919848622,0.6893213919848622,0.9778028381241367,2e-05,0.0037451510781109144,0.4811638322148908,0.1,
cagrad,coord_02_train_weight_decay_000,coord:train.weight_decay,2,0.6891157572713382,0.012829476196425937,0.6891157572713382,0.6891157572713382,1.0,2e-05,0.0037451510781109144,0.4,0.1,
cagrad,local_var_topk_002,local_var_topk,2,0.6862174511054957,0.003870081335177411,0.6862174511054957,0.6862174511054957,0.9778028381241367,1e-05,0.013745151078,0.4811638322148908,0.038270444775,
cagrad,coord_01_anchor,coord:train.lr,2,0.6858879203317989,0.0012808705727342384,0.6858879203317989,0.6858879203317989,1.0,2e-05,0.01,0.4,0.1,
cagrad,local_var_topk_018,local_var_topk,2,0.6853034062460784,0.021065153825443605,0.6853034062460784,0.6853034062460784,0.9778028381241367,4e-05,0.0,0.4811638322148908,0.038270444775,
cagrad,local_var_topk_009,local_var_topk,2,0.6838974646465408,0.0020703067568380584,0.6838974646465408,0.6838974646465408,0.9778028381241367,2e-05,0.0,0.4811638322148908,0.038270444775,
cagrad,coord_05_method_baseline_cagrad_inner_lr_001,coord:method.baseline_cagrad.inner_lr,2,0.6824890161687398,6.66521383669294e-05,0.6824890161687398,0.6824890161687398,0.9778028381241367,2e-05,0.0037451510781109144,0.4811638322148908,0.07654088954971919,
