step,train_step_loss,train_acc,train_loss,val_acc,val_loss,alignment_reward,avg_intra_expert_coherence,expert_diversity_e0,expert_diversity_e1,expert_diversity_e2,expert_diversity_e3,expert_diversity_mean,expert_purity_e0,expert_purity_e1,expert_purity_e2,expert_purity_e3,expert_purity_mean,inter_expert_similarity,inter_expert_similarity_e0_e0,inter_expert_similarity_e0_e1,inter_expert_similarity_e0_e2,inter_expert_similarity_e0_e3,inter_expert_similarity_e1_e0,inter_expert_similarity_e1_e1,inter_expert_similarity_e1_e2,inter_expert_similarity_e1_e3,inter_expert_similarity_e2_e0,inter_expert_similarity_e2_e1,inter_expert_similarity_e2_e2,inter_expert_similarity_e2_e3,inter_expert_similarity_e3_e0,inter_expert_similarity_e3_e1,inter_expert_similarity_e3_e2,inter_expert_similarity_e3_e3,intra_expert_coherence_e0,intra_expert_coherence_e1,intra_expert_coherence_e2,intra_expert_coherence_e3,l_conflict,l_conflict_e0,l_conflict_e1,l_conflict_e2,l_conflict_e3,load_cv,load_max_min_ratio,overall_task_conflict_cos,router_conflict_grad_l2,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,task_acc__glue_mrpc,task_conflict_t0_t0,task_grad_norm_cv,task_loss__glue_mrpc,utilization_ratio
50.0,0.4339844584465027,0.8135223555070883,0.3998808326280635,0.803921568627451,0.4060948918072077,0.1327483206987381,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.03942937526258603,1.0,-0.26219252470465465,0.054985986113589985,0.2565264872760877,-0.26219252470465465,1.0,-0.12287196374663532,0.22785886968404875,0.054985986113589985,-0.12287196374663532,1.0,-0.39088310619795263,0.2565264872760877,0.22785886968404875,-0.39088310619795263,1.0,1.0,1.0,1.0,1.0,-0.1327483206987381,-0.016957249492406845,-0.09298831224441528,-0.0,-0.02280275896191597,1.141300184571721,70.83195412809971,1.0,0.0,0.5732184204400754,0.16073459386825562,0.7355139255523682,0.010383928194642067,0.09336768090724945,0.803921568627451,1.0,0.0,0.4060948918072077,0.5
100.0,0.20126057043671608,0.8838604143947656,0.2709352645982543,0.8578431372549019,0.31544088149586547,0.052551254630088806,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0018701475924925274,1.0,0.3408808348501712,0.0,-0.2905758302918491,0.3408808348501712,1.0,0.0,-0.03908411900336693,0.0,0.0,1.0,0.0,-0.2905758302918491,-0.03908411900336693,0.0,1.0,1.0,1.0,1.0,1.0,-0.052551254630088806,-0.018050668761134148,-0.027852633967995644,-0.0,-0.006647954229265451,0.7417821884155273,497.7934953294624,1.0,0.0,0.6874302310102126,0.26720550656318665,0.5214908719062805,0.0010476048337295651,0.21025601029396057,0.8578431372549019,1.0,0.0,0.31544088149586547,0.75
150.0,0.4101068079471588,0.8418756815703381,0.3613042686863438,0.7990196078431373,0.4845335258779904,0.4575543999671936,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.011588387404085548,1.0,0.04561547951285028,0.0,-0.28204376859855107,0.04561547951285028,1.0,0.0,0.3059586135102141,0.0,0.0,1.0,0.0,-0.28204376859855107,0.3059586135102141,0.0,1.0,1.0,1.0,1.0,1.0,-0.4575543999671936,-0.1211174726486206,-0.2740797996520996,-0.0,-0.06235712766647339,0.9194801997828602,584476113319.397,1.0,0.0,0.6743049539771735,0.33702629804611206,0.584476113319397,0.0,0.07849752902984619,0.7990196078431373,1.0,0.0,0.4845335258779904,0.5
200.0,0.4493033140897751,0.9097600872410033,0.25336522664874794,0.8578431372549019,0.304626083574616,1.0887478590011597,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.10438410965363971,1.0,-0.04109818619082133,0.0,0.27589993264830187,-0.04109818619082133,1.0,0.0,0.39150291146435784,0.0,0.0,1.0,0.0,0.27589993264830187,0.39150291146435784,0.0,1.0,1.0,1.0,1.0,1.0,-1.0887478590011597,-0.1508040577173233,-0.6329822540283203,-0.0,-0.30496156215667725,0.8285148739814758,81.8370098701508,1.0,0.0,0.6733030045733732,0.1272875815629959,0.5563614964485168,0.006798409391194582,0.30955252051353455,0.8578431372549019,1.0,0.0,0.304626083574616,0.75
250.0,0.6070957183837891,0.9342966194111232,0.17759492029840857,0.8676470588235294,0.3597620314416977,0.5167330503463745,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.18328948991013524,1.0,-0.163916327757338,0.23524781806139317,0.3439173392954976,-0.163916327757338,1.0,0.05328634839386432,0.31470330394740204,0.23524781806139317,0.05328634839386432,1.0,0.31649845751999234,0.3439173392954976,0.31470330394740204,0.31649845751999234,1.0,1.0,1.0,1.0,1.0,-0.5167330503463745,-0.06068439409136772,-0.127580925822258,-0.10840995609760284,-0.22005777060985565,0.5152918100357056,7.210421063948691,1.0,0.0,0.6813179336342157,0.28071242570877075,0.41898125410079956,0.05810773745179176,0.2421986311674118,0.8676470588235294,1.0,0.0,0.3597620314416977,0.75
300.0,0.05802343972027302,0.9533805888767721,0.1333242186160414,0.8970588235294118,0.3594991003181069,0.015787247568368912,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.17961576283296174,1.0,-0.04840934816320657,0.24538638177706149,0.30491246908490605,-0.04840934816320657,1.0,0.1495345574763434,0.17653099364575467,0.24538638177706149,0.1495345574763434,1.0,0.24973952317691145,0.30491246908490605,0.17653099364575467,0.24973952317691145,1.0,1.0,1.0,1.0,1.0,-0.015787247568368912,-0.004884512163698673,-0.006302491296082735,-0.0008306802483275533,-0.0037695628125220537,0.511461077754369,4.864834944603486,1.0,0.0,0.6814973260842118,0.3711237907409668,0.3745563328266144,0.07699260860681534,0.17732734978199005,0.8970588235294118,1.0,0.0,0.3594991003181069,0.75
350.0,0.09796153008937836,0.9653762268266085,0.11204663614297043,0.8872549019607843,0.3138685345542259,0.022667786106467247,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1596957688760763,1.0,-0.12327101685126714,0.11715941879751053,0.2941260073842573,-0.12327101685126714,1.0,0.1303077809620402,0.2427167779035712,0.11715941879751053,0.1303077809620402,1.0,0.2971356450603456,0.2941260073842573,0.2427167779035712,0.2971356450603456,1.0,1.0,1.0,1.0,1.0,-0.022667786106467247,-0.00390565930865705,-0.011869694106280804,-0.0048891520127654076,-0.0020032802131026983,0.6945279240608215,7.79012081180617,1.0,0.0,0.6620046589888778,0.20768322050571442,0.5364032983779907,0.0688568651676178,0.18705663084983826,0.8872549019607843,1.0,0.0,0.3138685345542259,0.75
400.0,0.21198894083499908,0.9691930207197382,0.0848274405580014,0.8921568627450981,0.27597116648506087,0.09921954572200775,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1652956773625898,1.0,-0.1165925345472439,0.32706431053384677,0.2977938732702473,-0.1165925345472439,1.0,-0.01975379525637525,0.28226901028385953,0.32706431053384677,-0.01975379525637525,1.0,0.22099319989120422,0.2977938732702473,0.28226901028385953,0.22099319989120422,1.0,1.0,1.0,1.0,1.0,-0.09921954572200775,-0.014424201101064682,-0.04882563278079033,-0.006236285902559757,-0.029733430594205856,0.6338052749633789,8.210515366669453,1.0,0.0,0.676734959377962,0.257205605506897,0.4957757592201233,0.06038302555680275,0.18663567304611206,0.8921568627450981,1.0,0.0,0.27597116648506087,0.75
450.0,0.214554063975811,0.9809160305343512,0.05915035483751284,0.8995098039215687,0.2947156463364641,0.031566519290208817,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.16179602018251582,1.0,-0.029851226132653643,0.3204745090152426,0.2538529379884671,-0.029851226132653643,1.0,-0.023533136958741586,0.3064179430597356,0.3204745090152426,-0.023533136958741586,1.0,0.1434150941230449,0.2538529379884671,0.3064179430597356,0.1434150941230449,1.0,1.0,1.0,1.0,1.0,-0.031566519290208817,-0.004925317130982876,-0.011211258359253407,-0.00579321151599288,-0.009636732749640942,0.5639903881544106,5.005500739833543,1.0,0.0,0.6777956006573695,0.26788386702537537,0.4695550203323364,0.09380780160427094,0.16875320672988892,0.8995098039215687,1.0,0.0,0.2947156463364641,0.75
500.0,0.003900918294675648,0.9833696837513631,0.05706601439122333,0.8725490196078431,0.5082668872357596,0.00013447119272314012,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.15655071819245767,1.0,-0.09148787898476429,0.293306251384396,0.3072376669959772,-0.09148787898476429,1.0,0.02456458322727474,0.2870980417826246,0.293306251384396,0.02456458322727474,1.0,0.11858564474923773,0.3072376669959772,0.2870980417826246,0.11858564474923773,1.0,1.0,1.0,1.0,1.0,-0.00013447119272314012,-4.789988088305108e-05,-5.895760841667652e-05,-5.86521628065384e-06,-2.1748490325990133e-05,0.5438143610954285,6.1181806014211,1.0,0.0,0.6820459880080878,0.3122096359729767,0.43321317434310913,0.07080751657485962,0.18376964330673218,0.8725490196078431,1.0,0.0,0.5082668872357596,0.75
