step,train_step_loss,train_acc,train_loss,val_acc,val_loss,avg_intra_expert_coherence,expert_diversity_e0,expert_diversity_e1,expert_diversity_e2,expert_diversity_e3,expert_diversity_mean,expert_purity_e0,expert_purity_e1,expert_purity_e2,expert_purity_e3,expert_purity_mean,inter_expert_similarity,inter_expert_similarity_e0_e0,inter_expert_similarity_e0_e1,inter_expert_similarity_e0_e2,inter_expert_similarity_e0_e3,inter_expert_similarity_e1_e0,inter_expert_similarity_e1_e1,inter_expert_similarity_e1_e2,inter_expert_similarity_e1_e3,inter_expert_similarity_e2_e0,inter_expert_similarity_e2_e1,inter_expert_similarity_e2_e2,inter_expert_similarity_e2_e3,inter_expert_similarity_e3_e0,inter_expert_similarity_e3_e1,inter_expert_similarity_e3_e2,inter_expert_similarity_e3_e3,intra_expert_coherence_e0,intra_expert_coherence_e1,intra_expert_coherence_e2,intra_expert_coherence_e3,load_cv,load_max_min_ratio,overall_task_conflict_cos,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,task_acc__glue_sst2,task_conflict_t0_t0,task_grad_norm_cv,task_loss__glue_sst2,utilization_ratio
50.0,0.0789736770093441,0.913895486935867,0.24619200880884806,0.9071100917431193,0.263142458552664,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.04925323857773112,1.0,-0.2630857010075087,0.020168182317146253,0.42816406624282044,-0.2630857010075087,1.0,-0.0718594208961383,0.007067869141506602,0.020168182317146253,-0.0718594208961383,1.0,0.17506443566856045,0.42816406624282044,0.007067869141506602,0.17506443566856045,1.0,1.0,1.0,1.0,1.0,0.71709502645046,7.417619286003384,1.0,0.6260459215269176,0.27942711114883423,0.07149836421012878,0.1187267154455185,0.5303476452827454,0.9071100917431193,1.0,0.0,0.263142458552664,0.5
100.0,0.14485809952020645,0.9018705463182898,0.2559721428622224,0.9208715596330275,0.2165310904214328,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05527678764645044,1.0,-0.238354152149343,0.07619637400770582,-0.067034754880335,-0.238354152149343,1.0,0.19860628099343103,0.3376120274307097,0.07619637400770582,0.19860628099343103,1.0,0.02463495047653405,-0.067034754880335,0.3376120274307097,0.02463495047653405,1.0,1.0,1.0,1.0,1.0,0.5385547280311584,16.438413694266117,1.0,0.668176267125191,0.35578981041908264,0.34010156989097595,0.021643804386258125,0.2824648320674896,0.9208715596330275,1.0,0.0,0.2165310904214328,0.75
150.0,0.2214900106191635,0.9155285035629454,0.2494775039456882,0.9059633027522935,0.274436336806552,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.046346516942610105,1.0,-0.49861367373008947,-0.1284642451508209,0.31027469586172507,-0.49861367373008947,1.0,0.18995083387916958,-0.23984720681700655,-0.1284642451508209,0.18995083387916958,1.0,0.08862049430136164,0.31027469586172507,-0.23984720681700655,0.08862049430136164,1.0,1.0,1.0,1.0,1.0,0.5750529080566278,13.479328953752805,1.0,0.6325814909891251,0.29349762201309204,0.24215780198574066,0.03206948563456535,0.4322751462459564,0.9059633027522935,1.0,0.0,0.274436336806552,0.75
200.0,0.17371497675776482,0.9369061757719715,0.19774810130616113,0.926605504587156,0.22035012908957222,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.10677274522552366,1.0,-0.07039797926072593,0.07773639548797937,0.12772442259815864,-0.07039797926072593,1.0,0.21901210487838152,0.3455546759213874,0.07773639548797937,0.21901210487838152,1.0,-0.05899314827203907,0.12772442259815864,0.3455546759213874,-0.05899314827203907,1.0,1.0,1.0,1.0,1.0,0.5561560127828129,21.11704159773862,1.0,0.6366836193504684,0.3316373825073242,0.27300411462783813,0.017875738441944122,0.37748271226882935,0.926605504587156,1.0,0.0,0.22035012908957222,0.75
250.0,0.15435358602553606,0.9229513064133017,0.27568951395180985,0.9277522935779816,0.2348191235362637,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.055639593381214575,1.0,-0.07712911236419118,0.07866785396732599,0.05693541677334257,-0.07712911236419118,1.0,0.08600385122181703,-0.5143959548292717,0.07866785396732599,0.08600385122181703,1.0,0.036080384943689814,0.05693541677334257,-0.5143959548292717,0.036080384943689814,1.0,1.0,1.0,1.0,1.0,0.6642377376556396,8.381151665448069,1.0,0.6204238441012321,0.3316202461719513,0.13199687004089355,0.057176657021045685,0.47920623421669006,0.9277522935779816,1.0,0.0,0.2348191235362637,0.75
300.0,0.09498810023069382,0.9334916864608076,0.17244287685440265,0.9415137614678899,0.1618705775250088,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.008490096396085972,1.0,0.18295651732835075,0.2607139190749779,0.12581280662872923,0.18295651732835075,1.0,-0.051468863016341855,-0.27436780408010764,0.2607139190749779,-0.051468863016341855,1.0,-0.29458715431212407,0.12581280662872923,-0.27436780408010764,-0.29458715431212407,1.0,1.0,1.0,1.0,1.0,0.5768129229545593,14.084717230430124,1.0,0.6435407804786613,0.36933958530426025,0.21787872910499573,0.027364233508706093,0.38541749119758606,0.9415137614678899,1.0,0.0,0.1618705775250088,0.75
350.0,0.13430031295865774,0.9309679334916865,0.19097872133861182,0.9369266055045872,0.17077561479739167,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.026060730448484958,1.0,0.07658251074012197,0.08000178049133568,0.12150978151302386,0.07658251074012197,1.0,-0.38128326268899393,0.1120509641774907,0.08000178049133568,-0.38128326268899393,1.0,-0.165226156923888,0.12150978151302386,0.1120509641774907,-0.165226156923888,1.0,1.0,1.0,1.0,1.0,0.5549879670143127,8.608245828343746,1.0,0.6473565889061044,0.40787526965141296,0.2015785127878189,0.0473819263279438,0.343164324760437,0.9369266055045872,1.0,0.0,0.17077561479739167,0.75
400.0,0.2712474912405014,0.9357185273159145,0.21452732666104152,0.9277522935779816,0.2154401128878817,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.09626687008399788,1.0,0.14455706373134297,-0.02157371424235794,-0.01369682733906652,0.14455706373134297,1.0,-0.34412183900263904,-0.11734863709238015,-0.02157371424235794,-0.34412183900263904,1.0,-0.22541726655888664,-0.01369682733906652,-0.11734863709238015,-0.22541726655888664,1.0,1.0,1.0,1.0,1.0,0.6089600324630737,9.869946713444337,1.0,0.6434327451460952,0.408984512090683,0.16824178397655487,0.041437357664108276,0.3813363313674927,0.9277522935779816,1.0,0.0,0.2154401128878817,0.75
450.0,0.19017477333545685,0.9306710213776722,0.18309550022157772,0.9403669724770642,0.16321037160232663,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.010406484305248397,1.0,-0.016663809519666794,0.0,0.06267650760058747,-0.016663809519666794,1.0,0.0,-0.10845160391241106,0.0,0.0,1.0,0.0,0.06267650760058747,-0.10845160391241106,0.0,1.0,1.0,1.0,1.0,1.0,0.6022193431854248,162.34399964063272,1.0,0.6515371892430367,0.3870665729045868,0.25807464122772217,0.002384237013757229,0.35247448086738586,0.9403669724770642,1.0,0.0,0.16321037160232663,0.75
500.0,0.07667481154203415,0.9366092636579573,0.18682403737212355,0.944954128440367,0.17658071346072987,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.053050633226353595,1.0,0.05562416179635897,0.0,0.25420168891351513,0.05562416179635897,1.0,0.0,0.008477948648247446,0.0,0.0,1.0,0.0,0.25420168891351513,0.008477948648247446,0.0,1.0,1.0,1.0,1.0,1.0,0.5918069372407273,42.791193011895295,1.0,0.6374459283067546,0.34995728731155396,0.25115731358528137,0.009108806028962135,0.38977667689323425,0.944954128440367,1.0,0.0,0.17658071346072987,0.75
