method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.6571226572601816,0.6185729503631592,0.07319699972867966,0.056809503585100174,0.2514204680919647
baseline,3,1000.0,0.6836630486573377,0.3498944640159607,0.004190773703157902,0.5614543557167053,0.08446035534143448
baseline,5,1000.0,0.6875836597764481,0.4383009672164917,0.1457241326570511,0.4072933495044708,0.008681569248437881
baseline,7,1000.0,0.6667371463684199,0.026446878910064697,0.46050944924354553,0.45583394169807434,0.05720978230237961
baseline,11,1000.0,0.6864960042765134,0.003223956096917391,0.45345935225486755,0.5433167815208435,0.0
cagrad,2,1000.0,0.6903469779690298,0.23673027753829956,0.3817119300365448,0.07929033041000366,0.3022674322128296
cagrad,3,1000.0,0.6850477684492804,0.3683270812034607,0.30515408515930176,0.0,0.3265190124511719
cagrad,5,1000.0,0.6713931079336004,0.4461265802383423,0.06257567554712296,0.37160271406173706,0.11969490349292755
cagrad,7,1000.0,0.6549585985657352,0.6279663443565369,0.3539401590824127,0.0,0.018093427643179893
cagrad,11,1000.0,0.6808997800686215,0.5377822518348694,0.3951774835586548,0.03645575791597366,0.030584556981921196
ours,2,1000.0,0.6895166693803563,0.08464480936527252,0.052862498909235,0.42211416363716125,0.4403785765171051
ours,3,1000.0,0.6890088583799017,0.36813420057296753,0.0,0.34964802861213684,0.28221774101257324
ours,5,1000.0,0.6382832545447784,0.14287005364894867,0.11172041296958923,0.5655404329299927,0.17986929416656494
ours,7,1000.0,0.6841319830282765,0.5442488789558411,0.10069761425256729,0.3550536334514618,0.0
ours,11,1000.0,0.6184633106193287,0.08067222684621811,0.16001848876476288,0.6820481419563293,0.0772610679268837
