method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay,method.baseline_cagrad.c,method.baseline_cagrad.inner_lr,method.ours.lambda_align
baseline,coord_02_train_weight_decay_009,coord:train.weight_decay,2,0.7986577181208054,0.013422818791946345,0.8053691275167785,0.7919463087248322,1.0,1.2632687420587218e-05,0.007863245139373703,,,
baseline,coord_02_train_weight_decay_006,coord:train.weight_decay,2,0.7962607861936721,0.011984659635666306,0.8082454458293384,0.7842761265580058,1.0,1.2632687420587218e-05,0.04941338139680235,,,
baseline,coord_02_train_weight_decay_001,coord:train.weight_decay,2,0.7924256951102588,0.01869606903163956,0.8058485139022051,0.7790028763183126,1.0,1.2632687420587218e-05,0.006765903978014576,,,
baseline,coord_02_train_weight_decay_008,coord:train.weight_decay,2,0.7924256951102588,0.01102588686481304,0.802013422818792,0.7828379674017258,1.0,1.2632687420587218e-05,0.01543368425632205,,,
baseline,coord_03_train_grad_clip_004,coord:train.grad_clip,2,0.7919463087248322,0.015340364333652934,0.8034515819750718,0.7804410354745925,0.9537451003327635,1.2632687420587218e-05,0.007863245139373703,,,
baseline,local_var_topk_016,local_var_topk,2,0.7919463087248322,0.0115052732502397,0.8039309683604986,0.7799616490891659,0.953745100333,1.2632687e-05,0.017863245139,,,
baseline,local_var_topk_009,local_var_topk,2,0.7917066155321189,0.014621284755512942,0.8029721955896452,0.7804410354745925,0.653745100333,1.2632687e-05,0.0,,,
baseline,coord_02_train_weight_decay_003,coord:train.weight_decay,2,0.7912272291466922,0.01126558005752637,0.802013422818792,0.7804410354745925,1.0,1.2632687420587218e-05,0.035318587196151295,,,
baseline,coord_02_train_weight_decay_004,coord:train.weight_decay,2,0.7912272291466922,0.017018216682646192,0.7991371045062321,0.7833173537871525,1.0,1.2632687420587218e-05,0.012627914022778375,,,
baseline,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.7907478427612655,0.013662511984659675,0.8024928092042186,0.7790028763183126,1.0,1.2632687420587218e-05,0.007589584457877514,,,
baseline,local_var_topk_011,local_var_topk,2,0.7902684563758389,0.015100671140939603,0.8000958772770853,0.7804410354745925,1.253745100333,1.2632687e-05,0.0,,,
baseline,coord_03_anchor,coord:train.grad_clip,2,0.7900287631831255,0.015340364333652934,0.8029721955896452,0.7770853307766059,1.0,1.2632687420587218e-05,0.007863245139373703,,,
baseline,coord_03_train_grad_clip_006,coord:train.grad_clip,2,0.7900287631831255,0.015340364333652878,0.8010546500479386,0.7790028763183126,1.4235623362774221,1.2632687420587218e-05,0.007863245139373703,,,
baseline,coord_01_train_lr_005,coord:train.lr,2,0.7897890699904122,0.019415148609779498,0.8015340364333653,0.7780441035474592,1.0,1.2632687420587218e-05,0.01,,,
baseline,coord_02_train_weight_decay_005,coord:train.weight_decay,2,0.7895493767976989,0.010067114093959717,0.800575263662512,0.7785234899328859,1.0,1.2632687420587218e-05,0.01546097607936744,,,
baseline,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.7895493767976989,0.01102588686481304,0.8015340364333653,0.7775647171620326,0.6972133520518287,1.2632687420587218e-05,0.007863245139373703,,,
baseline,coord_03_train_grad_clip_000,coord:train.grad_clip,2,0.7893096836049855,0.017018216682646192,0.8010546500479386,0.7775647171620326,0.8623574172053887,1.2632687420587218e-05,0.007863245139373703,,,
baseline,coord_03_train_grad_clip_005,coord:train.grad_clip,2,0.7883509108341323,0.016059443911792926,0.8015340364333653,0.7751677852348994,0.6271934850757253,1.2632687420587218e-05,0.007863245139373703,,,
baseline,coord_03_train_grad_clip_009,coord:train.grad_clip,2,0.7883509108341323,0.008389261744966459,0.8000958772770854,0.7766059443911792,1.5112336071971466,1.2632687420587218e-05,0.007863245139373703,,,
baseline,coord_02_train_weight_decay_000,coord:train.weight_decay,2,0.7883509108341322,0.012224352828379692,0.8010546500479386,0.7756471716203259,1.0,1.2632687420587218e-05,0.024742505611920138,,,
baseline,coord_03_train_grad_clip_002,coord:train.grad_clip,2,0.7871524448705657,0.019175455417066112,0.8010546500479386,0.7732502396931926,0.5277354059107395,1.2632687420587218e-05,0.007863245139373703,,,
baseline,coord_02_train_weight_decay_002,coord:train.weight_decay,2,0.7869127516778524,0.024209012464046054,0.7996164908916588,0.774209012464046,1.0,1.2632687420587218e-05,0.03175375624865879,,,
baseline,coord_02_train_weight_decay_010,coord:train.weight_decay,2,0.7861936720997125,0.0162991371045062,0.7986577181208054,0.7737296260786194,1.0,1.2632687420587218e-05,0.02446709884391641,,,
baseline,local_var_topk_013,local_var_topk,2,0.7861936720997124,0.014381591562799612,0.8000958772770853,0.7722914669223394,0.953745100333,1.2632687e-05,0.007863245139,,,
baseline,local_var_topk_015,local_var_topk,2,0.7852348993288591,0.015340364333652878,0.7981783317353788,0.7722914669223394,0.653745100333,1.2632687e-05,0.017863245139,,,
baseline,coord_03_train_grad_clip_010,coord:train.grad_clip,2,0.785234899328859,0.007670182166826467,0.7967401725790988,0.7737296260786193,1.3976850553319569,1.2632687420587218e-05,0.007863245139373703,,,
baseline,coord_03_train_grad_clip_008,coord:train.grad_clip,2,0.7849952061361458,0.009827420901246386,0.7962607861936721,0.7737296260786194,1.979075829358662,1.2632687420587218e-05,0.007863245139373703,,,
baseline,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.7849952061361457,0.021332694151486087,0.800575263662512,0.7694151486097794,0.9733492506568604,1.2632687420587218e-05,0.007863245139373703,,,
baseline,local_var_topk_020,local_var_topk,2,0.7847555129434325,0.005273250239693217,0.7938638542665388,0.7756471716203259,1.253745100333,2.5265375e-05,0.0,,,
baseline,local_var_topk_022,local_var_topk,2,0.7847555129434324,0.020613614573346095,0.8044103547459251,0.7651006711409396,0.953745100333,2.5265375e-05,0.007863245139,,,
baseline,local_var_topk_010,local_var_topk,2,0.7845158197507192,0.01126558005752637,0.7981783317353788,0.7708533077660595,0.953745100333,1.2632687e-05,0.0,,,
baseline,local_var_topk_026,local_var_topk,2,0.7842761265580058,0.0162991371045062,0.8029721955896452,0.7655800575263663,1.253745100333,2.5265375e-05,0.017863245139,,,
baseline,local_var_topk_017,local_var_topk,2,0.7842761265580057,0.00862895493767979,0.7967401725790988,0.7718120805369127,1.253745100333,1.2632687e-05,0.017863245139,,,
baseline,coord_01_train_lr_004,coord:train.lr,2,0.7840364333652925,0.014621284755512887,0.800575263662512,0.7674976030680729,1.0,2.5551784142791192e-05,0.01,,,
