method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.baseline_cagrad.c,method.baseline_cagrad.inner_lr,train.grad_clip,train.lr,train.weight_decay
cagrad,coord_05_anchor,coord:method.baseline_cagrad.inner_lr,2,0.8762254901960784,0.001225490196078427,0.8762254901960784,0.8762254901960784,0.4,0.1,0.7126720819818055,2.5230558699923877e-05,0.0037451510781109144
cagrad,coord_05_method_baseline_cagrad_inner_lr_013,coord:method.baseline_cagrad.inner_lr,2,0.8713235294117647,0.008578431372548989,0.8713235294117647,0.8713235294117647,0.4,0.18244603755313846,0.7126720819818055,2.5230558699923877e-05,0.0037451510781109144
cagrad,coord_01_train_lr_016,coord:train.lr,2,0.8700980392156863,0.007352941176470562,0.8700980392156863,0.8700980392156863,0.4,0.1,1.0,2.5230558699923877e-05,0.01
cagrad,coord_03_train_grad_clip_014,coord:train.grad_clip,2,0.8688725490196079,0.008578431372548989,0.8688725490196079,0.8688725490196079,0.4,0.1,0.7126720819818055,2.5230558699923877e-05,0.0037451510781109144
cagrad,coord_03_anchor,coord:train.grad_clip,2,0.8627450980392157,0.01470588235294118,0.8627450980392157,0.8627450980392157,0.4,0.1,1.0,2.5230558699923877e-05,0.0037451510781109144
cagrad,coord_05_method_baseline_cagrad_inner_lr_001,coord:method.baseline_cagrad.inner_lr,2,0.8615196078431373,0.013480392156862753,0.8615196078431373,0.8615196078431373,0.4,0.07654088954971919,0.7126720819818055,2.5230558699923877e-05,0.0037451510781109144
cagrad,local_var_topk_025,local_var_topk,2,0.8615196078431373,0.001225490196078427,0.8615196078431373,0.8615196078431373,0.4,0.1,1.012672081982,5.0461117e-05,0.0037451510781109144
cagrad,coord_01_anchor,coord:train.lr,2,0.860906862745098,0.011642156862745112,0.8651960784313726,0.8566176470588236,0.4,0.1,1.0,2e-05,0.01
cagrad,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.8590686274509804,0.008578431372549045,0.8590686274509804,0.8590686274509804,0.4,0.1,1.1953276801381858,2.5230558699923877e-05,0.0037451510781109144
cagrad,local_var_topk_002,local_var_topk,2,0.8590686274509804,0.008578431372549045,0.8590686274509804,0.8590686274509804,0.4,0.2,0.5,1.2615279e-05,0.0037451510781109144
cagrad,coord_05_method_baseline_cagrad_inner_lr_005,coord:method.baseline_cagrad.inner_lr,2,0.8584558823529411,0.01654411764705882,0.8590686274509804,0.857843137254902,0.4,0.022256766075023793,0.7126720819818055,2.5230558699923877e-05,0.0037451510781109144
cagrad,coord_02_train_weight_decay_000,coord:train.weight_decay,2,0.857843137254902,0.01470588235294118,0.857843137254902,0.857843137254902,0.4,0.1,1.0,2.5230558699923877e-05,0.0037451510781109144
cagrad,coord_03_train_grad_clip_000,coord:train.grad_clip,2,0.857843137254902,0.0024509803921569095,0.857843137254902,0.857843137254902,0.4,0.1,1.594082469249858,2.5230558699923877e-05,0.0037451510781109144
cagrad,coord_03_train_grad_clip_009,coord:train.grad_clip,2,0.857843137254902,0.01470588235294118,0.857843137254902,0.857843137254902,0.4,0.1,0.820192140932037,2.5230558699923877e-05,0.0037451510781109144
