method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.6891665131438012,0.4733025133609772,0.3749595284461975,0.004340555518865585,0.14739733934402466
baseline,3,1000.0,0.6418004164508745,0.4065627157688141,0.01880677044391632,0.3031531870365143,0.2714773416519165
baseline,5,1000.0,0.6882334176231834,0.5034682154655457,0.0,0.18318329751491547,0.31334835290908813
baseline,7,1000.0,0.6819414391237146,0.1054239496588707,0.18804064393043518,0.23408479988574982,0.4724506437778473
baseline,11,1000.0,0.61597873767217,0.6139724254608154,0.3826754689216614,0.0006020040018483996,0.0027502018492668867
cagrad,2,1000.0,0.68313028531916,0.11802256107330322,0.19004037976264954,0.19359897077083588,0.4983380138874054
cagrad,3,1000.0,0.6790623244117288,0.50279301404953,0.0420132651925087,0.02191768027842045,0.43327596783638
cagrad,5,1000.0,0.6866736248427746,0.04405049607157707,0.3476044833660126,0.1053997129201889,0.5029453039169312
cagrad,7,1000.0,0.6904290061370999,0.3001596927642822,0.28155481815338135,0.14664103090763092,0.2716445326805115
cagrad,11,1000.0,0.6880063613255819,0.4046579897403717,0.4711868464946747,0.12415516376495361,0.0
ours,2,1000.0,0.6687964808707144,0.34279483556747437,0.11160285025835037,0.12114175409078598,0.4244605302810669
ours,3,1000.0,0.6655721103443819,0.11950387805700302,0.019736913964152336,0.4073077440261841,0.45345133543014526
ours,5,1000.0,0.600157269075805,0.13678479194641113,0.30366480350494385,0.0,0.5595502853393555
ours,7,1000.0,0.6810218995692683,0.1758967936038971,0.3849150836467743,0.14586974680423737,0.2933182716369629
ours,11,1000.0,0.6745414570266125,0.13623295724391937,0.1474945843219757,0.4460209608078003,0.27025148272514343
