method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,coord_02_train_weight_decay_022,coord:train.weight_decay,2,0.9168577981651376,0.0017201834862385357,0.9168577981651376,0.9168577981651376,0.001,1.0,2.166929842602531e-05,0.015476556327520243
ours,coord_03_train_grad_clip_012,coord:train.grad_clip,2,0.9168577981651376,0.0017201834862385357,0.9168577981651376,0.9168577981651376,0.001,0.6534831993378258,2.166929842602531e-05,0.015476556327520243
ours,local_var_topk_014,local_var_topk,2,0.9145642201834863,0.0028669724770642446,0.9145642201834863,0.9145642201834863,1.2672778e-05,0.953483199338,2.1669298e-05,0.015476556327520243
ours,coord_03_train_grad_clip_004,coord:train.grad_clip,2,0.9128440366972477,0.009174311926605505,0.9128440366972477,0.9128440366972477,0.001,0.8112607949285354,2.166929842602531e-05,0.015476556327520243
ours,coord_04_method_ours_lambda_align_011,coord:method.ours.lambda_align,2,0.9128440366972477,0.011467889908256867,0.9128440366972477,0.9128440366972477,1.2672777761501722e-05,0.6534831993378258,2.166929842602531e-05,0.015476556327520243
ours,coord_04_method_ours_lambda_align_014,coord:method.ours.lambda_align,2,0.9128440366972477,0.003440366972477016,0.9134174311926606,0.9122706422018348,0.0004542517577004152,0.6534831993378258,2.166929842602531e-05,0.015476556327520243
ours,coord_02_anchor,coord:train.weight_decay,2,0.911697247706422,0.004587155963302725,0.911697247706422,0.911697247706422,0.001,1.0,2.166929842602531e-05,0.01
ours,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.9111238532110091,0.005160550458715607,0.9111238532110091,0.9111238532110091,0.001,1.8833819174013477,2.166929842602531e-05,0.015476556327520243
ours,coord_04_method_ours_lambda_align_004,coord:method.ours.lambda_align,2,0.9105504587155964,0.0,0.9105504587155964,0.9105504587155964,0.0003739085202872783,0.6534831993378258,2.166929842602531e-05,0.015476556327520243
ours,local_var_topk_015,local_var_topk,2,0.9099770642201834,0.004013761467889954,0.9099770642201834,0.9099770642201834,2.5345556e-05,0.5,2.1669298e-05,0.015476556327520243
ours,coord_02_train_weight_decay_017,coord:train.weight_decay,2,0.9094036697247707,0.005733944954128434,0.9094036697247707,0.9094036697247707,0.001,1.0,2.166929842602531e-05,0.021412339270628602
ours,coord_03_train_grad_clip_011,coord:train.grad_clip,2,0.9094036697247706,0.0034403669724770714,0.9094036697247706,0.9094036697247706,0.001,0.8709011209284162,2.166929842602531e-05,0.015476556327520243
ours,coord_03_train_grad_clip_006,coord:train.grad_clip,2,0.9088302752293578,0.005160550458715607,0.9088302752293578,0.9088302752293578,0.001,1.2363744014086087,2.166929842602531e-05,0.015476556327520243
ours,coord_03_train_grad_clip_015,coord:train.grad_clip,2,0.9088302752293578,0.0005733944954128267,0.9088302752293578,0.9088302752293578,0.001,0.668779937363086,2.166929842602531e-05,0.015476556327520243
ours,coord_04_method_ours_lambda_align_021,coord:method.ours.lambda_align,2,0.908256880733945,0.010321100917431214,0.908256880733945,0.908256880733945,2.3628385147388267e-05,0.6534831993378258,2.166929842602531e-05,0.015476556327520243
ours,coord_02_train_weight_decay_016,coord:train.weight_decay,2,0.9076834862385321,0.012041284403669694,0.9076834862385321,0.9076834862385321,0.001,1.0,2.166929842602531e-05,0.04528612259904585
ours,coord_03_train_grad_clip_009,coord:train.grad_clip,2,0.9076834862385321,0.004013761467889898,0.9076834862385321,0.9076834862385321,0.001,0.7083602143821242,2.166929842602531e-05,0.015476556327520243
ours,coord_04_method_ours_lambda_align_015,coord:method.ours.lambda_align,2,0.9076834862385321,0.012041284403669694,0.9076834862385321,0.9076834862385321,0.007094332297035338,0.6534831993378258,2.166929842602531e-05,0.015476556327520243
ours,coord_04_method_ours_lambda_align_018,coord:method.ours.lambda_align,2,0.9076834862385321,0.0028669724770642446,0.9076834862385321,0.9076834862385321,0.002784315529814103,0.6534831993378258,2.166929842602531e-05,0.015476556327520243
ours,coord_04_method_ours_lambda_align_012,coord:method.ours.lambda_align,2,0.9071100917431193,0.006880733944954143,0.9071100917431193,0.9071100917431193,0.009330778085156435,0.6534831993378258,2.166929842602531e-05,0.015476556327520243
ours,coord_03_train_grad_clip_016,coord:train.grad_clip,2,0.9071100917431192,0.001146788990825709,0.9071100917431192,0.9071100917431192,0.001,0.9740671933715628,2.166929842602531e-05,0.015476556327520243
