method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.668761038998945,0.5923001766204834,0.043124422430992126,0.36457523703575134,0.0
baseline,3,1000.0,0.6802086791860948,0.0,0.5720744729042053,0.4279254972934723,0.0
baseline,5,1000.0,0.6535557656113161,0.19159600138664246,0.0,0.18556658923625946,0.6228373050689697
baseline,7,1000.0,0.6899499187775708,0.29822614789009094,0.24887466430664062,0.0,0.45289918780326843
baseline,11,1000.0,0.5954227983404737,0.31994494795799255,0.45513221621513367,0.00035387356183491647,0.22456878423690796
cagrad,2,1000.0,0.685051694922491,0.21512581408023834,0.0004578065709210932,0.25583574175834656,0.5285806059837341
cagrad,3,1000.0,0.6830314982921706,0.0,0.0028539414051920176,0.448325514793396,0.548820436000824
cagrad,5,1000.0,0.6669121051053388,0.0,0.4032452404499054,0.0074285827577114105,0.5893260836601257
cagrad,7,1000.0,0.6663087037725186,0.07089632004499435,0.4863634705543518,0.07726434618234634,0.3654756546020508
cagrad,11,1000.0,0.6907721878191747,0.01540959719568491,0.07980608940124512,0.5120682120323181,0.39271625876426697
ours,2,1000.0,0.6778696611386921,0.3242994546890259,0.0004467752587515861,0.3809603452682495,0.29429343342781067
ours,3,1000.0,0.6755795724895022,0.3253263831138611,0.12609510123729706,0.44494661688804626,0.10363193601369858
ours,5,1000.0,0.6252750147373305,0.12011125683784485,0.6693974137306213,0.13906894624233246,0.07142236083745956
ours,7,1000.0,0.6910894059259957,0.06406528502702713,0.41015321016311646,0.1189865842461586,0.40679502487182617
ours,11,1000.0,0.6528271835878354,0.025161413475871086,0.19421884417533875,0.6221809983253479,0.15843871235847473
