step,train_step_loss,train_acc,train_loss,val_acc,val_loss,avg_intra_expert_coherence,expert_diversity_e0,expert_diversity_e1,expert_diversity_e2,expert_diversity_e3,expert_diversity_mean,expert_purity_e0,expert_purity_e1,expert_purity_e2,expert_purity_e3,expert_purity_mean,inter_expert_similarity,inter_expert_similarity_e0_e0,inter_expert_similarity_e0_e1,inter_expert_similarity_e0_e2,inter_expert_similarity_e0_e3,inter_expert_similarity_e1_e0,inter_expert_similarity_e1_e1,inter_expert_similarity_e1_e2,inter_expert_similarity_e1_e3,inter_expert_similarity_e2_e0,inter_expert_similarity_e2_e1,inter_expert_similarity_e2_e2,inter_expert_similarity_e2_e3,inter_expert_similarity_e3_e0,inter_expert_similarity_e3_e1,inter_expert_similarity_e3_e2,inter_expert_similarity_e3_e3,intra_expert_coherence_e0,intra_expert_coherence_e1,intra_expert_coherence_e2,intra_expert_coherence_e3,load_cv,load_max_min_ratio,overall_task_conflict_cos,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,task_acc__glue_rte,task_conflict_t0_t0,task_grad_norm_cv,task_loss__glue_rte,utilization_ratio
50.0,0.5365269184112549,0.6883534136546184,0.5740174932548633,0.6389891696750902,0.6351626854803827,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.08059581523572586,1.0,-0.15377974586506105,0.0,-0.030474414061497382,-0.15377974586506105,1.0,0.0,-0.29932073148779675,0.0,0.0,1.0,0.0,-0.030474414061497382,-0.29932073148779675,0.0,1.0,1.0,1.0,1.0,1.0,0.8684545676979165,546700239181.51855,1.0,0.685290478627174,0.5467002391815186,0.3625392019748688,0.0,0.09076050668954849,0.6389891696750902,1.0,0.0,0.6351626854803827,0.5
100.0,0.26482394337654114,0.8558232931726908,0.341007426691552,0.779783393501805,0.4806209734330575,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.055513197392962566,1.0,0.034937354000538816,0.0,0.22075079803469436,0.034937354000538816,1.0,0.0,0.07739103232254221,0.0,0.0,1.0,0.0,0.22075079803469436,0.07739103232254221,0.0,1.0,1.0,1.0,1.0,1.0,0.7791239286513414,450835108757.01904,1.0,0.6862485314104101,0.4290415644645691,0.45083510875701904,0.0,0.12012340128421783,0.779783393501805,1.0,0.0,0.4806209734330575,0.5
150.0,0.2504732012748718,0.8963855421686747,0.2540131037696623,0.8339350180505415,0.37799027210308445,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.018643221573799093,1.0,0.11185932944279456,0.0,0.0,0.11185932944279456,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0215479744403346,582782328128.8147,1.0,0.6671568495271869,0.413815438747406,0.5827823281288147,0.0034021870233118534,0.0,0.8339350180505415,1.0,0.0,0.37799027210308445,0.5
200.0,0.5566581226885319,0.9453815261044177,0.15554593054709048,0.8339350180505415,0.4172192114508814,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.007628651351276448,1.0,0.12489862853930916,0.0,-0.07049459427315448,0.12489862853930916,1.0,0.0,-0.008632126158495998,0.0,0.0,1.0,0.0,-0.07049459427315448,-0.008632126158495998,0.0,1.0,1.0,1.0,1.0,1.0,1.0409980440734652,606753826141.3574,1.0,0.6573097198018099,0.39084935188293457,0.6067538261413574,0.0,0.002396766562014818,0.8339350180505415,1.0,0.0,0.4172192114508814,0.5
250.0,0.5612005293369293,0.9558232931726908,0.12798565318360208,0.8231046931407943,0.5193347047703961,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.01703974014819053,1.0,0.11808520789682272,0.0,0.24465649630926153,0.11808520789682272,1.0,0.0,-0.26050326331694107,0.0,0.0,1.0,0.0,0.24465649630926153,-0.26050326331694107,0.0,1.0,1.0,1.0,1.0,1.0,0.9682886600494385,329.0796524383742,1.0,0.6557251993929867,0.33431437611579895,0.6078589558601379,0.0018471484072506428,0.055979494005441666,0.8231046931407943,1.0,0.0,0.5193347047703961,0.5
300.0,0.21679579094052315,0.983132530120482,0.05871144573723611,0.8592057761732852,0.4693892795540806,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.024644777784497904,1.0,0.14769367718535628,0.0,0.18556652560828713,0.14769367718535628,1.0,0.0,-0.185391536086656,0.0,0.0,1.0,0.0,0.18556652560828713,-0.185391536086656,0.0,1.0,1.0,1.0,1.0,1.0,0.9624298214912415,77.35697136729718,1.0,0.669441360859234,0.3770686388015747,0.5815348029136658,0.007517548743635416,0.03387897461652756,0.8592057761732852,1.0,0.0,0.4693892795540806,0.5
350.0,0.004435151582583785,0.9839357429718876,0.052522764455315125,0.855595667870036,0.5406469563474983,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.008478471671503701,1.0,0.03689935170789656,0.0,-0.46932937591538143,0.03689935170789656,1.0,0.0,0.3815591941784627,0.0,0.0,1.0,0.0,-0.46932937591538143,0.3815591941784627,0.0,1.0,1.0,1.0,1.0,1.0,0.9572256803512573,92.66656983220793,1.0,0.6465005418453836,0.33035820722579956,0.6054471135139465,0.0065336087718605995,0.057661063969135284,0.855595667870036,1.0,0.0,0.5406469563474983,0.5
400.0,0.015663387021049857,0.9855421686746988,0.05025081923791171,0.8772563176895307,0.516414421895105,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.007276038877036817,1.0,-0.11772600624987455,0.0,0.2554673509175051,-0.11772600624987455,1.0,0.0,-0.18139757792985145,0.0,0.0,1.0,0.0,0.2554673509175051,-0.18139757792985145,0.0,1.0,1.0,1.0,1.0,1.0,1.0049403899979126,112.75343248322244,1.0,0.6493715628820206,0.40152040123939514,0.5840769410133362,0.009222548454999924,0.005180125590413809,0.8772563176895307,1.0,0.0,0.516414421895105,0.5
450.0,0.03741247486323118,0.9911646586345382,0.039755872139619154,0.8447653429602888,0.4944556667469442,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.017307569440116802,1.0,-0.2110047686829625,0.0,0.3886465895286551,-0.2110047686829625,1.0,0.0,-0.2814872374863934,0.0,0.0,1.0,0.0,0.3886465895286551,-0.2814872374863934,0.0,1.0,1.0,1.0,1.0,1.0,0.9513853788375854,34.454409272677964,1.0,0.6552470487808062,0.39653563499450684,0.5641346573829651,0.022956281900405884,0.016373366117477417,0.8447653429602888,1.0,0.0,0.4944556667469442,0.5
500.0,0.09109717630781233,0.9951807228915662,0.015361265630147104,0.8628158844765343,0.6131651865531845,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.05340097186502302,1.0,-0.2976164381689456,0.2432493807314137,0.0,-0.2976164381689456,1.0,-0.26603877375260615,0.0,0.2432493807314137,-0.26603877375260615,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7434608936309814,491861999034.8816,1.0,0.6460613610512083,0.34667888283729553,0.4918619990348816,0.16145910322666168,0.0,0.8628158844765343,1.0,0.0,0.6131651865531845,0.75
550.0,0.027054026650148444,0.9927710843373494,0.027518893376173557,0.8375451263537906,1.0047125180248662,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.13190224513892113,1.0,-0.04251151824854172,0.137672940720314,0.2668084854684998,-0.04251151824854172,1.0,0.1575977319014715,-0.12049204819226994,0.137672940720314,0.1575977319014715,1.0,0.39233787918405305,0.2668084854684998,-0.12049204819226994,0.39233787918405305,1.0,1.0,1.0,1.0,1.0,0.7273823347827989,44.70173222508632,1.0,0.6420294463849671,0.3421710133552551,0.49054890871047974,0.15630631148815155,0.010973823256790638,0.8375451263537906,1.0,0.0,1.0047125180248662,0.75
600.0,0.01779718801844865,0.9963855421686747,0.010666170938535894,0.855595667870036,0.7372911923965957,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.23583798621100469,1.0,-0.0969408717263673,0.047680507950547034,0.29222203734947644,-0.0969408717263673,1.0,0.4375485441777071,0.3680539099753714,0.047680507950547034,0.4375485441777071,1.0,0.3664637895392932,0.29222203734947644,0.3680539099753714,0.3664637895392932,1.0,1.0,1.0,1.0,1.0,0.5875334739685059,44.23504418855481,1.0,0.6337649159483101,0.29107052087783813,0.407705157995224,0.29200756549835205,0.00921679101884365,0.855595667870036,1.0,0.0,0.7372911923965957,0.75
650.0,0.0014417108905036002,0.9979919678714859,0.012047821678791083,0.8411552346570397,0.8902120129750983,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0536075270690422,1.0,-0.12858279859168625,-0.01947218599618828,0.20374317920224042,-0.12858279859168625,1.0,-0.008973122413902355,-0.12784879832949472,-0.01947218599618828,-0.008973122413902355,1.0,0.40277888854328436,0.20374317920224042,-0.12784879832949472,0.40277888854328436,1.0,1.0,1.0,1.0,1.0,0.6082003712654114,85.3635732442419,1.0,0.6583702108059549,0.38278383016586304,0.37044838070869446,0.2422836571931839,0.00448415894061327,0.8411552346570397,1.0,0.0,0.8902120129750983,0.75
700.0,0.0004879712068941444,0.9975903614457832,0.012500362613595009,0.8447653429602888,0.8401935045007526,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07620371833051341,1.0,-0.22486292232659008,0.09018908050674575,0.24614499232679876,-0.22486292232659008,1.0,-0.15399885945155556,0.09388038110631748,0.09018908050674575,-0.15399885945155556,1.0,0.40586963782136415,0.24614499232679876,0.09388038110631748,0.40586963782136415,1.0,1.0,1.0,1.0,1.0,0.5825706720352173,21.607935147279086,1.0,0.6528273919859517,0.3423750102519989,0.4003596603870392,0.23873697221279144,0.01852836273610592,0.8447653429602888,1.0,0.0,0.8401935045007526,0.75
750.0,0.0013186554569983855,0.9983935742971888,0.005327889512943493,0.8267148014440433,1.0501152909936435,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.04787578056593739,1.0,-0.12262571428145075,-0.09712800915398562,0.3843776749065377,-0.12262571428145075,1.0,-0.03888034101056277,-0.15386759942565592,-0.09712800915398562,-0.03888034101056277,1.0,0.3153786723607417,0.3843776749065377,-0.15386759942565592,0.3153786723607417,1.0,1.0,1.0,1.0,1.0,0.6457526472659497,22.74638876287386,1.0,0.6499755356716335,0.35133132338523865,0.4420325458049774,0.18720299005508423,0.01943308673799038,0.8267148014440433,1.0,0.0,1.0501152909936435,0.75
800.0,0.00038459555071312934,0.9959839357429718,0.014148121451485049,0.8339350180505415,0.9762036700083425,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.01986317301288108,1.0,-0.11217502137433018,0.021905028073818163,0.17209127544646266,-0.11217502137433018,1.0,-0.49169294882147546,-0.07116478928455092,0.021905028073818163,-0.49169294882147546,1.0,0.36185741788278925,0.17209127544646266,-0.07116478928455092,0.36185741788278925,1.0,1.0,1.0,1.0,1.0,0.6462621092796326,87.2224233499949,1.0,0.6632191437676496,0.41934338212013245,0.3677389919757843,0.20810991525650024,0.004807747434824705,0.8339350180505415,1.0,0.0,0.9762036700083425,0.75
850.0,0.0010829949169419706,0.9947791164658635,0.026255711561724383,0.8339350180505415,1.3303020689882032,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.022927556863103733,1.0,-0.10187860493216122,-0.061593680462410524,0.12830319714289853,-0.10187860493216122,1.0,-0.26290764685070656,-0.2671291659900184,-0.061593680462410524,-0.26290764685070656,1.0,0.4276405599137758,0.12830319714289853,-0.2671291659900184,0.4276405599137758,1.0,1.0,1.0,1.0,1.0,0.6050340297838467,12.694713413764669,1.0,0.638089305657342,0.3389517366886139,0.43379899859428406,0.19307759404182434,0.03417162597179413,0.8339350180505415,1.0,0.0,1.3303020689882032,0.75
900.0,0.0006750639440724626,0.9955823293172691,0.020782172467852435,0.8303249097472925,1.179432298898266,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.12498524065585914,1.0,-0.004406208463267241,-0.03385032043878849,0.3729273556728527,-0.004406208463267241,1.0,0.2366315908831815,-0.19709212148612382,-0.03385032043878849,0.2366315908831815,1.0,0.3757011477673002,0.3729273556728527,-0.19709212148612382,0.3757011477673002,1.0,1.0,1.0,1.0,1.0,0.6422871777668979,11.73124353486876,1.0,0.6286236525442626,0.2999769151210785,0.47824811935424805,0.1810079663991928,0.04076704382896423,0.8303249097472925,1.0,0.0,1.179432298898266,0.75
950.0,0.08028107101563364,0.9987951807228915,0.0048830570535942685,0.8375451263537906,0.8713638954480606,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.21025297757861883,1.0,-0.08921285684230228,-0.05159748684289405,0.1962832104987342,-0.08921285684230228,1.0,0.4754101916502021,0.38264044306463596,-0.05159748684289405,0.4754101916502021,1.0,0.347994363943337,0.1962832104987342,0.38264044306463596,0.347994363943337,1.0,1.0,1.0,1.0,1.0,0.5683259110645003,12.680720587445037,1.0,0.6209406293256188,0.2687346339225769,0.43338513374328613,0.26370346546173096,0.034176696091890335,0.8375451263537906,1.0,0.0,0.8713638954480606,0.75
1000.0,0.2633909084688639,0.9967871485943776,0.015666296087463196,0.8375451263537906,1.0042047908777425,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.00199637109362343,1.0,-0.1045847494520007,-0.08155996194999494,0.18333157144140286,-0.1045847494520007,1.0,-0.11636073072777364,-0.32983391610184043,-0.08155996194999494,-0.11636073072777364,1.0,0.46098601335194744,0.18333157144140286,-0.32983391610184043,0.46098601335194744,1.0,1.0,1.0,1.0,1.0,0.5375034809112549,9.233941074484274,1.0,0.6369271941133354,0.3040299415588379,0.4144915044307709,0.23659074306488037,0.04488782212138176,0.8375451263537906,1.0,0.0,1.0042047908777425,0.75
