method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,-0.009998151026724847
baseline,e0,e2,-0.008472762529679264
baseline,e0,e3,0.04476178275346805
baseline,e1,e0,-0.009998151026724847
baseline,e1,e1,1.0
baseline,e1,e2,-0.21105328151843814
baseline,e1,e3,-0.0792065183255644
baseline,e2,e0,-0.008472762529679264
baseline,e2,e1,-0.21105328151843814
baseline,e2,e2,1.0
baseline,e2,e3,0.11020248887226577
baseline,e3,e0,0.04476178275346805
baseline,e3,e1,-0.0792065183255644
baseline,e3,e2,0.11020248887226577
baseline,e3,e3,1.0
cagrad,e0,e0,1.0
cagrad,e0,e1,0.06270138325890076
cagrad,e0,e2,0.06965087996888905
cagrad,e0,e3,-0.031613328813260164
cagrad,e1,e0,0.06270138325890076
cagrad,e1,e1,1.0
cagrad,e1,e2,0.11442079070540415
cagrad,e1,e3,0.034665452164469854
cagrad,e2,e0,0.06965087996888905
cagrad,e2,e1,0.11442079070540415
cagrad,e2,e2,1.0
cagrad,e2,e3,-0.040549266484150324
cagrad,e3,e0,-0.031613328813260164
cagrad,e3,e1,0.034665452164469854
cagrad,e3,e2,-0.040549266484150324
cagrad,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,0.09979529837840587
ours,e0,e2,0.07944048418328872
ours,e0,e3,0.03315200629816974
ours,e1,e0,0.09979529837840587
ours,e1,e1,1.0
ours,e1,e2,0.020389972886547387
ours,e1,e3,-0.060526150657868816
ours,e2,e0,0.07944048418328872
ours,e2,e1,0.020389972886547387
ours,e2,e2,1.0
ours,e2,e3,-0.04968444686374282
ours,e3,e0,0.03315200629816974
ours,e3,e1,-0.060526150657868816
ours,e3,e2,-0.04968444686374282
ours,e3,e3,1.0
