method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,coord_04_method_ours_lambda_align_008,coord:method.ours.lambda_align,2,0.8411552346570397,0.0,0.8411552346570397,0.8411552346570397,0.00013289491787351013,0.6534831993378258,4.2333466349297045e-05,0.043221282843119845
ours,coord_01_train_lr_006,coord:train.lr,2,0.8285198555956679,0.012635379061371799,0.8285198555956679,0.8285198555956679,0.001,1.0,4.2333466349297045e-05,0.01
ours,coord_03_train_grad_clip_012,coord:train.grad_clip,2,0.8285198555956679,0.0018050541516245744,0.8285198555956679,0.8285198555956679,0.001,0.6534831993378258,4.2333466349297045e-05,0.043221282843119845
ours,coord_04_method_ours_lambda_align_012,coord:method.ours.lambda_align,2,0.8249097472924187,0.012635379061371854,0.8249097472924187,0.8249097472924187,0.009330778085156435,0.6534831993378258,4.2333466349297045e-05,0.043221282843119845
ours,coord_03_train_grad_clip_009,coord:train.grad_clip,2,0.8231046931407943,0.0072202166064981865,0.8231046931407943,0.8231046931407943,0.001,0.7083602143821242,4.2333466349297045e-05,0.043221282843119845
ours,coord_02_train_weight_decay_011,coord:train.weight_decay,2,0.8212996389891697,0.045126353790613694,0.8212996389891697,0.8212996389891697,0.001,1.0,4.2333466349297045e-05,0.043221282843119845
ours,coord_02_train_weight_decay_019,coord:train.weight_decay,2,0.8212996389891697,0.009025270758122761,0.8212996389891697,0.8212996389891697,0.001,1.0,4.2333466349297045e-05,0.03694470642666276
ours,coord_03_train_grad_clip_010,coord:train.grad_clip,2,0.8194945848375452,0.0036101083032490933,0.8194945848375452,0.8194945848375452,0.001,1.8035428423900308,4.2333466349297045e-05,0.043221282843119845
ours,coord_04_method_ours_lambda_align_016,coord:method.ours.lambda_align,2,0.8194945848375451,0.02166064981949456,0.8194945848375451,0.8194945848375451,0.005047737318427321,0.6534831993378258,4.2333466349297045e-05,0.043221282843119845
ours,coord_04_method_ours_lambda_align_001,coord:method.ours.lambda_align,2,0.8176895306859205,0.023465703971119134,0.8176895306859205,0.8176895306859205,0.0012346878339290972,0.6534831993378258,4.2333466349297045e-05,0.043221282843119845
ours,coord_02_train_weight_decay_006,coord:train.weight_decay,2,0.8158844765342961,0.0036101083032490933,0.8158844765342961,0.8158844765342961,0.001,1.0,4.2333466349297045e-05,0.04811190452922659
ours,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.8158844765342961,0.007220216606498242,0.8158844765342961,0.8158844765342961,0.001,1.7645117906944783,4.2333466349297045e-05,0.043221282843119845
ours,coord_01_train_lr_003,coord:train.lr,2,0.8149819494584838,0.0009025270758122872,0.8231046931407943,0.8068592057761733,0.001,1.0,5.7311085087922365e-05,0.01
ours,coord_02_train_weight_decay_017,coord:train.weight_decay,2,0.8140794223826715,0.005415162454873668,0.8140794223826715,0.8140794223826715,0.001,1.0,4.2333466349297045e-05,0.021412339270628602
