method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,0.016563089458723944
baseline,e0,e2,0.04845832109361929
baseline,e0,e3,0.06853075553144834
baseline,e1,e0,0.016563089458723944
baseline,e1,e1,1.0
baseline,e1,e2,-0.0030150230403240092
baseline,e1,e3,0.020960963661776112
baseline,e2,e0,0.04845832109361929
baseline,e2,e1,-0.0030150230403240092
baseline,e2,e2,1.0
baseline,e2,e3,0.04609545632757831
baseline,e3,e0,0.06853075553144834
baseline,e3,e1,0.020960963661776112
baseline,e3,e2,0.04609545632757831
baseline,e3,e3,1.0
cagrad,e0,e0,1.0
cagrad,e0,e1,0.022808061475752546
cagrad,e0,e2,0.05400325967509856
cagrad,e0,e3,0.03488112998856876
cagrad,e1,e0,0.022808061475752546
cagrad,e1,e1,1.0
cagrad,e1,e2,0.029730738022190256
cagrad,e1,e3,0.010357511907881962
cagrad,e2,e0,0.05400325967509856
cagrad,e2,e1,0.029730738022190256
cagrad,e2,e2,1.0
cagrad,e2,e3,0.04553922994700544
cagrad,e3,e0,0.03488112998856876
cagrad,e3,e1,0.010357511907881962
cagrad,e3,e2,0.04553922994700544
cagrad,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,0.024992292937728863
ours,e0,e2,0.014902982921854388
ours,e0,e3,0.050613472244285675
ours,e1,e0,0.024992292937728863
ours,e1,e1,1.0
ours,e1,e2,-0.014430369904442136
ours,e1,e3,0.021839667099773374
ours,e2,e0,0.014902982921854388
ours,e2,e1,-0.014430369904442136
ours,e2,e2,1.0
ours,e2,e3,0.009084439794511057
ours,e3,e0,0.050613472244285675
ours,e3,e1,0.021839667099773374
ours,e3,e2,0.009084439794511057
ours,e3,e3,1.0
