method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay
baseline,coord_02_train_weight_decay_001,coord:train.weight_decay,2,0.7830171130952381,0.014787946428571452,0.7830171130952381,0.7830171130952381,1.0,4.073235308694881e-05,0.006765903978014576
baseline,coord_03_train_grad_clip_008,coord:train.grad_clip,2,0.7707403273809523,0.006417410714285698,0.7707403273809523,0.7707403273809523,1.979075829358662,4.073235308694881e-05,0.006765903978014576
baseline,local_var_topk_013,local_var_topk,2,0.7655319940476191,0.029854910714285643,0.7655319940476191,0.7655319940476191,1.979075829359,4.0732353e-05,0.006765903978
baseline,coord_03_train_grad_clip_010,coord:train.grad_clip,2,0.7635788690476191,0.04724702380952378,0.7635788690476191,0.7635788690476191,1.3976850553319569,4.073235308694881e-05,0.006765903978014576
baseline,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.7619977678571428,0.020740327380952384,0.7619977678571428,0.7619977678571428,0.9733492506568604,4.073235308694881e-05,0.006765903978014576
baseline,coord_02_train_weight_decay_010,coord:train.weight_decay,2,0.7619047619047619,0.04055059523809529,0.7619047619047619,0.7619047619047619,1.0,4.073235308694881e-05,0.02446709884391641
baseline,coord_03_anchor,coord:train.grad_clip,2,0.76171875,0.042596726190476275,0.76171875,0.76171875,1.0,4.073235308694881e-05,0.006765903978014576
baseline,local_var_topk_016,local_var_topk,2,0.7599516369047619,0.012927827380952384,0.7599516369047619,0.7599516369047619,1.979075829359,4.0732353e-05,0.016765903978
baseline,local_var_topk_012,local_var_topk,2,0.7591610863095237,0.02153087797619052,0.7612537202380951,0.7570684523809523,1.679075829359,4.0732353e-05,0.006765903978
baseline,coord_02_train_weight_decay_009,coord:train.weight_decay,2,0.7539992559523809,0.0058593750000000555,0.7539992559523809,0.7539992559523809,1.0,4.073235308694881e-05,0.007863245139373703
baseline,coord_02_train_weight_decay_004,coord:train.weight_decay,2,0.7509300595238095,0.0074404761904762196,0.7509300595238095,0.7509300595238095,1.0,4.073235308694881e-05,0.012627914022778375
baseline,coord_02_train_weight_decay_002,coord:train.weight_decay,2,0.7500930059523809,0.018694196428571452,0.7500930059523809,0.7500930059523809,1.0,4.073235308694881e-05,0.03175375624865879
baseline,local_var_topk_023,local_var_topk,2,0.7476748511904762,0.04901413690476186,0.7493489583333333,0.7460007440476191,2.0,8.1464706e-05,0.006765903978
baseline,coord_02_anchor,coord:train.weight_decay,2,0.7469308035714286,0.014415922619047616,0.7469308035714286,0.7469308035714286,1.0,4.073235308694881e-05,0.0
baseline,local_var_topk_018,local_var_topk,2,0.7459077380952381,0.027343749999999944,0.7564174107142857,0.7353980654761905,1.679075829359,8.1464706e-05,0.0
baseline,local_var_topk_010,local_var_topk,2,0.7454427083333333,0.01534598214285715,0.75,0.7408854166666666,1.979075829359,4.0732353e-05,0.0
baseline,coord_02_train_weight_decay_008,coord:train.weight_decay,2,0.7447451636904763,0.031482514880952384,0.7459077380952381,0.7435825892857143,1.0,4.073235308694881e-05,0.01543368425632205
baseline,coord_03_train_grad_clip_000,coord:train.grad_clip,2,0.7443266369047619,0.006603422619047616,0.7443266369047619,0.7443266369047619,0.8623574172053887,4.073235308694881e-05,0.006765903978014576
baseline,local_var_topk_026,local_var_topk,2,0.7437220982142857,0.042364211309523836,0.7479538690476191,0.7394903273809523,2.0,8.1464706e-05,0.016765903978
baseline,coord_02_train_weight_decay_006,coord:train.weight_decay,2,0.7435825892857142,9.300595238098674e-05,0.7435825892857142,0.7435825892857142,1.0,4.073235308694881e-05,0.04941338139680235
baseline,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.7434895833333334,0.017113095238095233,0.7434895833333334,0.7434895833333334,1.0,4.073235308694881e-05,0.007589584457877514
baseline,coord_03_train_grad_clip_005,coord:train.grad_clip,2,0.7426525297619048,0.03245907738095244,0.7426525297619048,0.7426525297619048,0.6271934850757253,4.073235308694881e-05,0.006765903978014576
baseline,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.7422805059523809,0.029296875,0.7422805059523809,0.7422805059523809,0.6972133520518287,4.073235308694881e-05,0.006765903978014576
baseline,coord_03_train_grad_clip_006,coord:train.grad_clip,2,0.7422340029761905,0.027483258928571397,0.7485119047619047,0.7359561011904762,1.4235623362774221,4.073235308694881e-05,0.006765903978014576
baseline,coord_02_train_weight_decay_005,coord:train.weight_decay,2,0.7421875,0.029575892857142794,0.7421875,0.7421875,1.0,4.073235308694881e-05,0.01546097607936744
baseline,local_var_topk_009,local_var_topk,2,0.7418154761904762,0.0037202380952381375,0.7418154761904762,0.7418154761904762,1.679075829359,4.0732353e-05,0.0
baseline,local_var_topk_024,local_var_topk,2,0.7417224702380952,0.0008370535714284921,0.7417224702380952,0.7417224702380952,1.679075829359,8.1464706e-05,0.016765903978
baseline,coord_01_train_lr_007,coord:train.lr,2,0.7393973214285714,0.003534226190476164,0.7393973214285714,0.7393973214285714,1.0,4.073235308694881e-05,0.0
baseline,local_var_topk_017,local_var_topk,2,0.7392113095238095,0.02008928571428581,0.7392113095238095,0.7392113095238095,2.0,4.0732353e-05,0.016765903978
baseline,coord_03_train_grad_clip_009,coord:train.grad_clip,2,0.7388392857142857,0.007068452380952328,0.7388392857142857,0.7388392857142857,1.5112336071971466,4.073235308694881e-05,0.006765903978014576
baseline,coord_02_train_weight_decay_000,coord:train.weight_decay,2,0.7362351190476191,0.02938988095238093,0.7364211309523809,0.7360491071428572,1.0,4.073235308694881e-05,0.024742505611920138
baseline,local_var_topk_015,local_var_topk,2,0.7361421130952381,0.010881696428571452,0.7361421130952381,0.7361421130952381,1.679075829359,4.0732353e-05,0.016765903978
baseline,coord_01_train_lr_004,coord:train.lr,2,0.7351190476190477,0.024181547619047616,0.7351190476190477,0.7351190476190477,1.0,2.5551784142791192e-05,0.0
baseline,local_var_topk_003,local_var_topk,2,0.7338169642857143,0.013392857142857095,0.7338169642857143,0.7338169642857143,1.679075829359,2.0366177e-05,0.006765903978
baseline,coord_03_train_grad_clip_003,coord:train.grad_clip,2,0.7331659226190477,0.021484375,0.7454427083333334,0.720889136904762,0.8690175238301865,4.073235308694881e-05,0.006765903978014576
baseline,local_var_topk_005,local_var_topk,2,0.7327008928571428,0.004092261904761918,0.7327008928571428,0.7327008928571428,2.0,2.0366177e-05,0.006765903978
baseline,local_var_topk_011,local_var_topk,2,0.7317243303571428,0.03836495535714285,0.7340959821428572,0.7293526785714286,2.0,4.0732353e-05,0.0
baseline,local_var_topk_002,local_var_topk,2,0.7316778273809523,0.0181361607142857,0.7316778273809523,0.7316778273809523,2.0,2.0366177e-05,0.0
baseline,coord_03_train_grad_clip_002,coord:train.grad_clip,2,0.7314918154761905,0.010881696428571397,0.7314918154761905,0.7314918154761905,0.5277354059107395,4.073235308694881e-05,0.006765903978014576
baseline,coord_01_train_lr_008,coord:train.lr,2,0.7313988095238094,0.0013020833333333703,0.7313988095238094,0.7313988095238094,1.0,3.073869450200515e-05,0.0
baseline,local_var_topk_004,local_var_topk,2,0.7313058035714286,0.007533482142857151,0.7313058035714286,0.7313058035714286,1.979075829359,2.0366177e-05,0.006765903978
baseline,local_var_topk_021,local_var_topk,2,0.7310267857142857,0.017299107142857095,0.7310267857142857,0.7310267857142857,1.679075829359,8.1464706e-05,0.006765903978
baseline,coord_01_train_lr_001,coord:train.lr,2,0.7294456845238095,0.012741815476190466,0.7294456845238095,0.7294456845238095,1.0,0.00011129736574037923,0.0
baseline,local_var_topk_000,local_var_topk,2,0.7280505952380952,0.0011160714285715079,0.7280505952380952,0.7280505952380952,1.679075829359,2.0366177e-05,0.0
