method,expert,score_var,score_mean,score_std
baseline,e0,0.010365730038034185,0.1884325511753559,0.10181222931472518
baseline,e1,0.009442488946229588,0.1804114133119583,0.09717247010460107
baseline,e2,0.01766286546914273,0.13887724564410747,0.13290171356736802
baseline,e3,0.014761629707500643,0.1373798051092308,0.12149744732915438
baseline,e4,0.01199846694503518,0.21281843837350606,0.1095375138709802
baseline,e5,0.012756185927266905,0.25859248004853724,0.11294328633109144
ours,e0,0.00030795912958692107,0.2001793272793293,0.017548764332195047
ours,e1,0.0012481048438667264,0.16684481874108315,0.035328527337928003
ours,e2,0.003061159027493208,0.22307260930538178,0.055327741933800335
ours,e3,0.0041012285992064615,0.18583629429340362,0.06404083540372081
ours,e4,0.010507938617558176,0.1967601142823696,0.10250823682786753
ours,e5,0.0018089249202136281,0.19552519917488098,0.042531458007146056
