method,seed,best_val_acc,final_val_acc,score_05_05,reused,summary_json,curve_csv
baseline,2,0.848838879770767,0.8445991689275198,0.8467190243491434,False,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/baseline_s2.json,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/baseline_s2_curve.csv
baseline,3,0.834316089230571,0.8263182584755785,0.8303171738530748,False,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/baseline_s3.json,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/baseline_s3_curve.csv
baseline,5,0.8439201981563038,0.8315547505459755,0.8377374743511397,False,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/baseline_s5.json,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/baseline_s5_curve.csv
baseline,7,0.8455971630052479,0.8455971630052479,0.8455971630052479,False,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/baseline_s7.json,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/baseline_s7_curve.csv
baseline,11,0.850193068311862,0.849543448298927,0.8498682583053945,False,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/baseline_s11.json,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/baseline_s11_curve.csv
ours,2,0.8515743852809168,0.8387509109044287,0.8451626480926727,False,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/ours_s2.json,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/ours_s2_curve.csv
ours,3,0.8358275634365717,0.8182551703548709,0.8270413668957213,False,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/ours_s3.json,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/ours_s3_curve.csv
ours,5,0.8422230001274693,0.8405734691908042,0.8413982346591368,False,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/ours_s5.json,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/ours_s5_curve.csv
ours,7,0.8423176712746316,0.8423176712746316,0.8423176712746316,False,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/ours_s7.json,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/ours_s7_curve.csv
ours,11,0.8510177942326228,0.8361760793472683,0.8435969367899456,False,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/ours_s11.json,runs/paper_suite_supplement/appendix/more_expert/glue4_roberta_lora_e6_k3/final/ours_s11_curve.csv
