method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay
baseline,coord_02_train_weight_decay_026,coord:train.weight_decay,2,0.8285198555956679,0.01985559566787004,0.8285198555956679,0.8285198555956679,1.0,2.5551784142791192e-05,0.0460373429885869
baseline,local_var_topk_018,local_var_topk,2,0.8267148014440433,0.018050541516245522,0.8267148014440433,0.8267148014440433,0.7,5.1103568e-05,0.036037342989
baseline,coord_01_train_lr_004,coord:train.lr,2,0.8249097472924187,0.0018050541516245189,0.8249097472924187,0.8249097472924187,1.0,2.5551784142791192e-05,0.01
baseline,local_var_topk_023,local_var_topk,2,0.8249097472924187,0.005415162454873668,0.8249097472924187,0.8249097472924187,1.3,5.1103568e-05,0.046037342989
baseline,local_var_topk_026,local_var_topk,2,0.8212996389891697,0.005415162454873612,0.8212996389891697,0.8212996389891697,1.3,5.1103568e-05,0.05
baseline,coord_02_train_weight_decay_016,coord:train.weight_decay,2,0.8194945848375451,0.02166064981949456,0.8194945848375451,0.8194945848375451,1.0,2.5551784142791192e-05,0.03347846787638463
baseline,coord_01_train_lr_007,coord:train.lr,2,0.8176895306859207,0.01985559566787004,0.8176895306859207,0.8176895306859207,1.0,4.073235308694881e-05,0.01
baseline,coord_02_train_weight_decay_021,coord:train.weight_decay,2,0.8176895306859207,0.0018050541516245189,0.8176895306859207,0.8176895306859207,1.0,2.5551784142791192e-05,0.01947001734993263
baseline,coord_02_train_weight_decay_027,coord:train.weight_decay,2,0.8176895306859207,0.0018050541516245189,0.8176895306859207,0.8176895306859207,1.0,2.5551784142791192e-05,0.04621390262168793
baseline,coord_03_anchor,coord:train.grad_clip,2,0.8176895306859207,0.012635379061371854,0.8176895306859207,0.8176895306859207,1.0,2.5551784142791192e-05,0.0460373429885869
baseline,coord_02_train_weight_decay_025,coord:train.weight_decay,2,0.8158844765342961,0.0,0.8158844765342961,0.8158844765342961,1.0,2.5551784142791192e-05,0.032846608813273635
