method,row,col,value
baseline,glue/rte,glue/rte,1.0
baseline,glue/rte,glue/mrpc,0.03663805911587549
baseline,glue/rte,glue/cola,0.13345921842831637
baseline,glue/mrpc,glue/rte,0.03663805911587549
baseline,glue/mrpc,glue/mrpc,1.0
baseline,glue/mrpc,glue/cola,0.12493460399265006
baseline,glue/cola,glue/rte,0.13345921842831637
baseline,glue/cola,glue/mrpc,0.12493460399265006
baseline,glue/cola,glue/cola,1.0
cagrad,glue/rte,glue/rte,1.0
cagrad,glue/rte,glue/mrpc,0.07104953814705588
cagrad,glue/rte,glue/cola,0.10633057748770827
cagrad,glue/mrpc,glue/rte,0.07104953814705588
cagrad,glue/mrpc,glue/mrpc,1.0
cagrad,glue/mrpc,glue/cola,0.1618766752481421
cagrad,glue/cola,glue/rte,0.10633057748770827
cagrad,glue/cola,glue/mrpc,0.1618766752481421
cagrad,glue/cola,glue/cola,1.0
ours,glue/rte,glue/rte,1.0
ours,glue/rte,glue/mrpc,-0.009220014369823898
ours,glue/rte,glue/cola,0.12243352185259866
ours,glue/mrpc,glue/rte,-0.009220014369823898
ours,glue/mrpc,glue/mrpc,1.0
ours,glue/mrpc,glue/cola,0.16449070258631313
ours,glue/cola,glue/rte,0.12243352185259866
ours,glue/cola,glue/mrpc,0.16449070258631313
ours,glue/cola,glue/cola,1.0
