ts_epoch,event,phase,completed_jobs,total_jobs,failed_jobs,percent,eta_sec,elapsed_sec
1774672661.0314388,init,,0,0,0,0.0,,3.743171691894531e-05
1774672661.0318878,pipeline_start,,0,0,0,0.0,,0.0005426406860351562
1774672661.0349975,lock_wait,,0,0,0,0.0,,0.0009171962738037109
1774672661.0371141,lock_acquired,,0,0,0,0.0,,0.004052162170410156
1774672661.0393887,method_start,,0,0,0,0.0,,0.006104469299316406
1774672661.041332,lock_wait,,0,0,0,0.0,,0.008514165878295898
1774672661.0433853,lock_acquired,,0,0,0,0.0,,0.010383844375610352
1774672661.0468543,lock_released,,0,0,0,0.0,,0.012421846389770508
1774672661.0498843,lock_wait,,0,0,0,0.0,,0.016511917114257812
1774672661.053479,lock_acquired,,0,0,0,0.0,,0.01894402503967285
1774672661.0568109,plan_add,,0,24,0,0.0,,0.022472620010375977
1774672661.05996,phase_start,cagrad:coord:train.lr,0,24,0,0.0,,0.02582383155822754
1774672661.1418314,group_slots,cagrad:coord:train.lr,0,24,0,0.0,,0.11044478416442871
1774672661.1449397,group_start,cagrad:coord:train.lr,0,24,0,0.0,,0.1108248233795166
1774673929.8483355,job_done,cagrad:coord:train.lr,1,24,0,4.166666666666667,29182.771564006805,1268.8161549568176
1774675108.6629255,job_done,cagrad:coord:train.lr,2,24,0,8.333333333333334,26923.946783304214,2447.6315257549286
1774676339.035449,job_done,cagrad:coord:train.lr,3,24,0,12.5,25746.027477264404,3678.0039253234863
1774677585.8994873,job_done,cagrad:coord:train.lr,4,24,0,16.666666666666668,24624.340111017227,4924.868022203445
1774678807.1668484,job_done,cagrad:coord:train.lr,5,24,0,20.833333333333332,23355.314166879656,6146.135307073593
1774680049.4638484,job_done,cagrad:coord:train.lr,6,24,0,25.0,22165.297031879425,7388.432343959808
1774681343.815583,job_done,cagrad:coord:train.lr,7,24,0,29.166666666666668,21086.761274678367,8682.784054279327
1774682619.8486423,job_done,cagrad:coord:train.lr,8,24,0,33.333333333333336,19917.634147644043,9958.817073822021
1774683896.6659338,job_done,cagrad:coord:train.lr,9,24,0,37.5,18726.057406663895,11235.634443998337
1774685155.8169053,job_done,cagrad:coord:train.lr,10,24,0,41.666666666666664,17492.699652671814,12494.785466194153
1774686365.2909818,job_done,cagrad:coord:train.lr,11,24,0,45.833333333333336,16195.943173690277,13704.259608507156
1774687651.5646486,job_done,cagrad:coord:train.lr,12,24,0,50.0,14990.533175706863,14990.533175706863
1774689045.258285,job_done,cagrad:coord:train.lr,13,24,0,54.166666666666664,13863.576572069755,16384.22685790062
1774690523.4821372,job_done,cagrad:coord:train.lr,14,24,0,58.333333333333336,12758.893332821981,17862.450665950775
1774691899.910948,job_done,cagrad:coord:train.lr,15,24,0,62.5,11543.327733564378,19238.879555940628
1774693116.6311412,job_done,cagrad:coord:train.lr,16,24,0,66.66666666666667,10227.799829363823,20455.599658727646
1774694410.6017296,job_done,cagrad:coord:train.lr,17,24,0,70.83333333333333,8955.705369486528,21749.57018303871
1774695698.259518,job_done,cagrad:coord:train.lr,18,24,0,75.0,7679.07601348559,23037.228040456772
1774696923.879018,job_done,cagrad:coord:train.lr,19,24,0,79.16666666666667,6384.95986737703,24262.847496032715
1774697991.1890874,job_done,cagrad:coord:train.lr,20,24,0,83.33333333333333,5066.031530523301,25330.1576526165
1774698988.9377732,job_done,cagrad:coord:train.lr,21,24,0,87.5,3761.1294588702067,26327.906212091446
1774700065.29706,job_done,cagrad:coord:train.lr,22,24,0,91.66666666666667,2491.2968740246515,27404.265614271164
1774701207.634766,job_done,cagrad:coord:train.lr,23,24,0,95.83333333333333,1241.1566582037055,28546.603138685226
1774702320.0781384,job_done,cagrad:coord:train.lr,24,24,0,100.0,,29659.046656131744
1774702320.0892398,group_end,cagrad:coord:train.lr,24,24,0,100.0,,29659.05779671669
1774702320.0927825,phase_end,,24,24,0,100.0,,29659.058247327805
1774702320.0960095,lock_released,,24,24,0,100.0,,29659.061849594116
1774702320.0995474,lock_wait,,24,24,0,100.0,,29659.066744327545
1774702320.1026976,lock_acquired,,24,24,0,100.0,,29659.068623781204
1774702320.1053553,plan_add,,24,48,0,50.0,29659.071700811382,29659.071700811386
1774702320.107823,phase_start,cagrad:coord:train.weight_decay,24,48,0,50.0,29659.07436656952,29659.07436656952
1774702320.1772656,group_slots,cagrad:coord:train.weight_decay,24,48,0,50.0,29659.145699739456,29659.145699739456
1774702320.1801956,group_start,cagrad:coord:train.weight_decay,24,48,0,50.0,29659.146303653717,29659.146303653717
1774703517.7714186,job_done,cagrad:coord:train.weight_decay,25,48,0,52.083333333333336,28388.200623655317,30856.739808321
1774704600.053703,job_done,cagrad:coord:train.weight_decay,26,48,0,54.166666666666664,27025.326534711396,31939.022268295288
1774705735.198083,job_done,cagrad:coord:train.weight_decay,27,48,0,56.25,25724.351743247775,33074.16652703285
1774706873.7074325,job_done,cagrad:coord:train.weight_decay,28,48,0,58.333333333333336,24437.625622579028,34212.67587161064
1774708013.6641066,job_done,cagrad:coord:train.weight_decay,29,48,0,60.416666666666664,23162.069614689928,35352.63256978989
1774709157.6554303,job_done,cagrad:coord:train.weight_decay,30,48,0,62.5,21897.974318218232,36496.62386369705
1774710253.8558505,job_done,cagrad:coord:train.weight_decay,31,48,0,64.58333333333333,20615.419829745446,37592.82439541817
1774711426.790524,job_done,cagrad:coord:train.weight_decay,32,48,0,66.66666666666667,19382.879454016685,38765.75890803337
1774712531.833758,job_done,cagrad:coord:train.weight_decay,33,48,0,68.75,18123.091957569122,39870.80230665207
1774713539.1662064,job_done,cagrad:coord:train.weight_decay,34,48,0,70.83333333333333,16832.173125533496,40878.13473343849
1774714666.5620625,job_done,cagrad:coord:train.weight_decay,35,48,0,72.91666666666667,15602.054192243304,42005.530517578125
1774715779.968889,job_done,cagrad:coord:train.weight_decay,36,48,0,75.0,14372.979132493338,43118.93739748001
1774716959.5394344,job_done,cagrad:coord:train.weight_decay,37,48,0,77.08333333333333,13169.826700545646,44298.507992744446
1774718129.5335183,job_done,cagrad:coord:train.weight_decay,38,48,0,79.16666666666667,11965.39525270462,45468.50196027756
1774719249.4897215,job_done,cagrad:coord:train.weight_decay,39,48,0,81.25,10751.182664394379,46588.45821237564
1774720381.3316162,job_done,cagrad:coord:train.weight_decay,40,48,0,83.33333333333333,9544.060030031205,47720.30015015602
1774721505.63518,job_done,cagrad:coord:train.weight_decay,41,48,0,85.41666666666667,8339.322579901393,48844.60368227959
1774722605.8611083,job_done,cagrad:coord:train.weight_decay,42,48,0,87.5,7134.975654193333,49944.82957935333
1774723539.233181,job_done,cagrad:coord:train.weight_decay,43,48,0,89.58333333333333,5916.069965057595,50878.201699495316
1774724385.456505,job_done,cagrad:coord:train.weight_decay,44,48,0,91.66666666666667,4702.220460371537,51724.425064086914
1774725222.7574165,job_done,cagrad:coord:train.weight_decay,45,48,0,93.75,3504.1150632699328,52561.725949048996
1774726063.3689528,job_done,cagrad:coord:train.weight_decay,46,48,0,95.83333333333333,2321.8407575254855,53402.33742308617
