method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,-0.02305024823615852
baseline,e0,e2,-0.010062538158499178
baseline,e0,e3,0.004162942994862506
baseline,e1,e0,-0.02305024823615852
baseline,e1,e1,1.0
baseline,e1,e2,-0.03736071283402019
baseline,e1,e3,-0.026847531853231733
baseline,e2,e0,-0.010062538158499178
baseline,e2,e1,-0.03736071283402019
baseline,e2,e2,1.0
baseline,e2,e3,0.03667452903815836
baseline,e3,e0,0.004162942994862506
baseline,e3,e1,-0.026847531853231733
baseline,e3,e2,0.03667452903815836
baseline,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,-0.026310004851891045
ours,e0,e2,0.0718922280149499
ours,e0,e3,-0.017612296721420975
ours,e1,e0,-0.026310004851891045
ours,e1,e1,1.0
ours,e1,e2,-0.001509038685577392
ours,e1,e3,0.025490022731289568
ours,e2,e0,0.0718922280149499
ours,e2,e1,-0.001509038685577392
ours,e2,e2,1.0
ours,e2,e3,-0.10887708877136273
ours,e3,e0,-0.017612296721420975
ours,e3,e1,0.025490022731289568
ours,e3,e2,-0.10887708877136273
ours,e3,e3,1.0
